Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Januar 2022,,,,,,2022,januar
I alt,74143.0,2.6,-49826.0,-40.0,4.4,2022,januar
Oslo,13613.0,3.5,-11911.0,-47.0,6.6,2022,januar
Rogaland,6146.0,2.5,-4334.0,-41.0,4.2,2022,januar
Møre og Romsdal,3169.0,2.4,-1484.0,-32.0,3.5,2022,januar
Nordland - Nordlánnda,2523.0,2.1,-1215.0,-33.0,3.1,2022,januar
Viken,18615.0,2.9,-12821.0,-41.0,5.0,2022,januar
Innlandet,3881.0,2.1,-2328.0,-37.0,3.4,2022,januar
Vestfold og Telemark,6290.0,3.1,-3042.0,-33.0,4.6,2022,januar
Agder,3871.0,2.6,-2112.0,-35.0,4.0,2022,januar
Vestland,8253.0,2.5,-5143.0,-38.0,4.1,2022,januar
Trøndelag - Trööndelage,5044.0,2.1,-3724.0,-42.0,3.6,2022,januar
Troms og Finnmark - Romsa ja Finnmárku,2699.0,2.1,-1653.0,-38.0,3.5,2022,januar
Øvrige områder,30.0,,-52.0,-63.0,,2022,januar
Ukjent,9.0,,-7.0,-44.0,,2022,januar
