Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
April 2023,,,,,,2023,april
I alt,53199.0,1.8,-586.0,-1.0,1.9,2023,april
Oslo,9119.0,2.3,-180.0,-2.0,2.3,2023,april
Rogaland,4317.0,1.7,-168.0,-4.0,1.8,2023,april
Møre og Romsdal,2323.0,1.7,-73.0,-3.0,1.7,2023,april
Nordland - Nordlánnda,1629.0,1.3,-62.0,-4.0,1.4,2023,april
Viken,13945.0,2.1,-103.0,-1.0,2.2,2023,april
Innlandet,3079.0,1.7,171.0,6.0,1.6,2023,april
Vestfold og Telemark,4836.0,2.3,163.0,3.0,2.2,2023,april
Agder,2790.0,1.8,182.0,7.0,1.7,2023,april
Vestland,5744.0,1.7,-370.0,-6.0,1.8,2023,april
Trøndelag - Trööndelage,3559.0,1.4,68.0,2.0,1.4,2023,april
Troms og Finnmark - Romsa ja Finnmárku,1840.0,1.4,-189.0,-9.0,1.6,2023,april
Øvrige områder,7.0,,-3.0,-30.0,,2023,april
Ukjent,11.0,,-22.0,-67.0,,2023,april
