Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned
Desember 2013,,,,,2013,desember
I alt,70346.0,2.6,7777.0,12.0,2013,desember
Østfold,5064.0,3.6,562.0,12.0,2013,desember
Akershus,7030.0,2.3,851.0,14.0,2013,desember
Oslo,12127.0,3.4,1583.0,15.0,2013,desember
Hedmark,2675.0,2.8,275.0,11.0,2013,desember
Oppland,2179.0,2.2,119.0,6.0,2013,desember
Buskerud,3701.0,2.6,596.0,19.0,2013,desember
Vestfold,3682.0,3.0,291.0,9.0,2013,desember
Telemark,2543.0,2.9,-320.0,-11.0,2013,desember
Aust-Agder,2057.0,3.6,416.0,25.0,2013,desember
Vest-Agder,2464.0,2.7,-62.0,-2.0,2013,desember
Rogaland,5050.0,2.0,990.0,24.0,2013,desember
Hordaland,5774.0,2.2,807.0,16.0,2013,desember
Sogn og Fjordane,1122.0,2.0,151.0,16.0,2013,desember
Møre og Romsdal,2844.0,2.1,300.0,12.0,2013,desember
Sør-Trøndelag,3562.0,2.2,218.0,7.0,2013,desember
Nord-Trøndelag,1677.0,2.5,236.0,16.0,2013,desember
Nordland,3527.0,2.9,446.0,14.0,2013,desember
Troms,1817.0,2.2,83.0,5.0,2013,desember
Finnmark,1391.0,3.6,190.0,16.0,2013,desember
Øvrige områder,7.0,,3.0,75.0,2013,desember
Ukjent,53.0,,42.0,382.0,2013,desember
