Geografi,År,Kjønn,Alder,Svarkategori,sosial status,Måltall,value
Telemark,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",17.7658283796904
Telemark,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",11.7999288764854
Telemark,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",23.6246130018507
Telemark,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",17.7990895311614
Telemark,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",11.7977684835108
Telemark,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",23.6380080108562
Telemark,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",16.5664184400665
Telemark,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",10.4126686757494
Telemark,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",22.6662196581678
Telemark,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Telemark,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Telemark,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Telemark,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Telemark,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Telemark,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Telemark,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",19.9982996051159
Telemark,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",11.1768824740776
Telemark,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",28.7823304377998
Porsgrunn,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",17.4582967818065
Porsgrunn,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",12.8538360031165
Porsgrunn,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",22.0668904146919
Porsgrunn,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",16.6568607042604
Porsgrunn,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",10.5305700302558
Porsgrunn,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",22.7399797215058
Porsgrunn,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2022,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2023,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2023,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2023,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Porsgrunn,2024,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",19.8845332634399
Porsgrunn,2024,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",12.7327174010025
Porsgrunn,2024,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",27.0001476701886
Skien,2018,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",19.3267785307572
Skien,2018,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",12.1955338088905
Skien,2018,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",26.4386432250587
Skien,2019,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2019,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2019,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2020,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2020,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2020,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2021,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",19.1130783106285
Skien,2021,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",12.132601536474
Skien,2021,jenter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",26.0673044312234
Skien,2022,kjønn samlet,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
Skien,2022,gutter,8-10.trinn,minst ukentlig,samlet,"andel (prosent, standardisert)",..
