Region,Andel aleneboende (2025),Label
Bamble,36,Bamble
Drangedal,41,Drangedal
Fyresdal,45,Fyresdal
Hjartdal,36,Hjartdal
Kragerø,43,Kragerø
Kviteseid,42,Kviteseid
Midt-Telemark,44,Midt-Telemark
Nissedal,37,Nissedal
Nome,41,Nome
Notodden,42,Notodden
Porsgrunn,42,Porsgrunn
Seljord,41,Seljord
Siljan,32,Siljan
Skien,41,Skien
Tinn,46,Tinn
Tokke,45,Tokke
Vinje,44,Vinje
Telemark,41,Telemark
Hele landet,41,Hele landet
