Dato,Furulund NO2 µg/m³,Furulund PM10 µg/m³,Haukenes NO2 µg/m³,Knarrdalstranda NO2 µg/m³,Knarrdalstranda PM10 µg/m³,Lensmannsdalen NO2 µg/m³,Lensmannsdalen PM10 µg/m³,Sverresgate NO2 µg/m³,Sverresgate PM10 µg/m³,Datadekning (%),Datadekning (%).1,Datadekning (%).2,Datadekning (%).3,Datadekning (%).4,Datadekning (%).5,Datadekning (%).6,Datadekning (%).7,Datadekning (%).8
2014-02-16,,,0.91452222,,,22.85150621,16.53666667,21.3609635,13.23666667,1.0,1.0,1.0,1.0,1.0,,,,
2014-02-17,,,2.92568498,,,38.99357448,48.51916667,40.05322687,22.23833333,1.0,1.0,1.0,1.0,1.0,,,,
2014-02-18,,,5.03145646,,,43.97913228,38.60083333,42.89634114,30.745,1.0,0.92,0.96,1.0,1.0,,,,
2014-02-19,,,0.98624121,,,32.01482165,7.90625,20.4930065,6.80166667,1.0,1.0,1.0,0.96,1.0,,,,
2014-02-20,,,2.43716672,,,31.77283562,14.74916667,30.16732558,6.81083333,1.0,1.0,1.0,1.0,1.0,,,,
2014-02-21,,,4.70855368,,,27.73484118,11.0275,27.80305914,9.72583333,1.0,1.0,1.0,1.0,1.0,,,,
2014-02-22,,,2.11407186,,,25.69889952,21.25291667,17.31027167,17.16916667,1.0,1.0,1.0,1.0,1.0,,,,
2014-02-23,,,2.22701061,,,17.32608828,21.50041667,12.60001001,18.8375,1.0,1.0,1.0,1.0,1.0,,,,
2014-02-24,,,4.1285721,,,27.09961188,,22.90779825,31.35458333,,1.0,1.0,1.0,1.0,,,,
2014-02-25,,,9.86465304,,,22.20866273,56.485,30.42847744,48.04904762,1.0,0.92,0.92,0.96,0.88,,,,
2014-02-26,,,7.38618988,,,19.32903802,33.58666667,26.95706056,33.23833333,1.0,1.0,1.0,1.0,1.0,,,,
2014-02-27,,,5.559688,,,29.30996318,31.60666667,29.70788715,22.71041667,1.0,1.0,1.0,1.0,1.0,,,,
2014-02-28,,,6.53772884,,,14.94708142,21.90833333,22.99077691,22.66916667,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-01,,,2.45150938,,,20.21049645,10.51416667,16.04276532,8.03,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-02,,,3.42902812,,,15.19370961,11.495,16.42948006,11.31625,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-03,,,5.07790128,,,18.45196,25.70333333,21.82919648,23.22375,1.0,1.0,0.92,1.0,1.0,,,,
2014-03-04,,,2.98673825,,,21.64035244,53.60208333,21.19223613,35.79583333,1.0,0.92,1.0,0.92,1.0,,,,
2014-03-05,,,4.85435584,,,30.73262925,31.03833333,30.67929185,27.27541667,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-06,,,4.24054832,,,32.57702157,32.67,23.70626812,22.61416667,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-07,,,2.80621091,,,34.36442338,13.6125,23.73212099,10.09708333,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-08,,,,,,16.13879267,63.03,17.98766645,43.98625,1.0,1.0,,1.0,1.0,,,,
2014-03-09,,,,,,16.04611202,65.31708333,12.70420587,50.32041667,1.0,1.0,,1.0,1.0,,,,
2014-03-10,,,,,,27.41222274,92.50541667,21.65599738,35.8875,1.0,1.0,,1.0,1.0,,,,
2014-03-11,,,1.62996418,,,37.71745389,199.05875,41.7394379,115.33041667,1.0,0.92,1.0,0.96,1.0,,,,
2014-03-12,,,1.39453148,,,38.09127646,123.22291667,46.93816617,114.75291667,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-13,,,-0.28176188,,,28.35251018,61.23333333,28.69854642,57.73625,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-14,,,1.10690892,,,29.97185045,57.53458333,34.90044024,44.85708333,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-15,,,-1.5556645,,,7.88143465,36.80875,3.15860873,24.26875,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-16,,,0.70651415,,,16.75468834,29.63583333,19.68642087,29.14083333,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-17,,,0.12436851,,,19.56714632,68.75458333,16.74294024,49.92166667,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-18,,,3.816188,,,43.94561524,61.92541667,38.91356801,54.93125,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-19,,,5.2314889,,,33.65909054,41.34166667,30.19378168,37.19833333,1.0,0.92,0.92,0.92,1.0,,,,
2014-03-20,,,1.6332835,,,27.88023666,47.05708333,25.70911082,42.5975,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-21,,,0.00118963,,,22.33147113,42.33625,28.43856682,33.48583333,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-22,,,1.00781833,,,24.21860349,21.4775,20.98503301,18.37458333,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-23,,,-0.15658792,,,23.37278201,15.455,28.623149,13.2825,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-24,,,3.55364733,,,21.71416306,32.35833333,31.44931298,35.97,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-25,,,,,,18.77228426,32.40416667,8.71852841,16.93541667,1.0,0.92,,0.96,1.0,,,,
2014-03-26,,,,,,15.66367964,20.07958333,10.03374177,15.72083333,1.0,1.0,,1.0,1.0,,,,
2014-03-27,,,,,,29.55926197,40.58541667,12.15074283,15.98208333,1.0,1.0,,1.0,1.0,,,,
2014-03-28,,,5.54385617,,,25.04680642,40.44333333,25.77792813,39.1875,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-29,,,4.00187072,,,22.08173737,39.88875,34.39161419,48.36333333,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-30,,,4.642353,,,19.87163518,38.5275,31.74388129,42.06125,1.0,1.0,1.0,1.0,1.0,,,,
2014-03-31,,,4.22999513,,,28.20223751,46.37416667,27.76287989,43.3675,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-01,,,3.3267291,,,30.71012535,39.37541667,31.96343442,31.97791667,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-02,,,3.74325253,,,33.08014171,49.8025,36.77326197,46.79583333,1.0,0.92,0.92,0.96,1.0,,,,
2014-04-03,,,2.50224223,,,30.48993284,49.82083333,35.31469259,42.12541667,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-04,,,2.42049151,,,30.44193987,41.73583333,35.89733242,40.85583333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-05,,,2.69036244,,,22.31462232,16.115,20.83248192,15.90875,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-06,,,6.31054109,,,18.21436288,16.09208333,17.74702136,14.42833333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-07,,,7.59714418,,,28.58068232,37.65208333,25.52540782,21.56458333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-08,,,0.93959365,,,20.4508433,14.09375,10.34209101,5.775,1.0,0.92,0.92,0.92,1.0,,,,
2014-04-09,,,-0.31616454,,,19.23047559,16.00958333,8.88121321,8.51583333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-10,,,2.18751985,,,31.06785155,19.38291667,27.72616478,14.75833333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-11,,,-0.53557177,,,22.29631572,27.78,20.67420704,18.48,0.92,1.0,1.0,1.0,1.0,,,,
2014-04-12,,,-0.38665547,,,19.97834717,18.55173913,18.36515859,13.50708333,0.96,1.0,1.0,1.0,1.0,,,,
2014-04-13,,,-0.95352274,,,8.40593951,13.15416667,6.52455369,9.5975,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-14,,,-0.85218675,,,17.12891295,30.46541667,9.90442411,14.42833333,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-15,,,-0.01745461,,,19.40896736,26.32208333,14.28599199,17.03625,1.0,1.0,1.0,1.0,1.0,,,,
2014-04-16,,,1.15879182,,,21.60872509,33.93958333,23.41333234,27.94,1.0,0.92,0.92,0.96,1.0,,,,
2014-04-17,,,1.42521894,,,18.82618679,21.97130435,16.03488332,16.34416667,0.96,1.0,1.0,1.0,1.0,,,,
2014-04-18,,,-0.13413167,,,9.30039283,15.61043478,13.35808253,13.24125,0.96,1.0,1.0,1.0,1.0,,,,
