Fra-tid;Til-tid;Lensmannsdalen PM10 µg/m³;Datadekning (%);Lensmannsdalen NO2 µg/m³;Datadekning (%).1;Haukenes NO2 µg/m³;Datadekning (%).2;Sverresgate NO2 µg/m³;Datadekning (%).3;Sverresgate PM10 µg/m³;Datadekning (%).4;Furulund NO2 µg/m³;Datadekning (%).5;Furulund PM10 µg/m³;Datadekning (%).6;Knarrdalstranda PM10 µg/m³;Datadekning (%).7;Knarrdalstranda NO2 µg/m³;Datadekning (%).8
01.06.2025 00:00;02.06.2025 00:00;17,26255363;100;9,66925408;96;0,48119099;96;4,90307464;96;15,83831301;100;4,75180562;96;16,36513834;100;13,23716895;100;12,882049;96
02.06.2025 00:00;03.06.2025 00:00;14,57671208;100;7,01802708;100;0,35612136;100;4,78469127;100;23,27774817;100;18,45637822;100;13,62751098;100;11,59673421;100;7,71640619;100
03.06.2025 00:00;04.06.2025 00:00;17,90114738;100;5,53422172;100;3,15156828;100;2,81658253;100;8,52044895;100;11,06295437;100;9,74734787;100;15,34058997;100;1,7190385;100
04.06.2025 00:00;05.06.2025 00:00;21,60367943;100;8,2060251;100;3,90822664;100;6,04892479;100;10,48858216;100;2,21843144;100;6,39815609;100;30,07730973;100;9,66378554;100
05.06.2025 00:00;06.06.2025 00:00;14,17111902;96;5,3024136;100;1,92060629;100;5,98451253;100;13,57806186;96;12,03349185;100;11,75408886;100;4,610236;100;14,23642761;100
06.06.2025 00:00;07.06.2025 00:00;14,17118846;100;7,33399706;100;3,41738274;100;5,51436307;100;10,78002715;100;3,3690379;100;18,28606268;100;19,32963062;100;10,0989283;100
07.06.2025 00:00;08.06.2025 00:00;21,84132297;100;4,47054523;96;2,52408875;96;5,07404775;96;5,92189999;100;12,72681906;96;15,06595714;100;4,610236;100;1,7190385;96
08.06.2025 00:00;09.06.2025 00:00;18,40765165;100;5,14988235;100;1,12303987;100;2,90502049;100;13,43383619;100;14,70013326;100;7,74729323;100;11,68538537;100;4,34010052;100
09.06.2025 00:00;10.06.2025 00:00;13,17575462;100;7,31694196;100;2,52375417;100;4,73227023;100;8,18750475;100;4,18701941;100;14,86084651;100;21,98744909;100;10,98910704;100
10.06.2025 00:00;11.06.2025 00:00;17,45647327;100;8,08655158;100;4,16122328;100;4,87542436;100;15,31285411;100;13,66320747;100;15,92436262;100;15,22446607;100;3,49172806;100
