Kommunenummer,Kommune,Andel
4001,Porsgrunn,0.7367
4003,Skien,0.6968
4005,Notodden,0.6809
4010,Siljan,0.7741
4012,Bamble,0.7664
4014,Kragerø,0.6983
4016,Drangedal,0.6646
4018,Nome,0.6807
4020,Midt-Telemark,0.7094
4022,Seljord,0.6924
4024,Hjartdal,0.6411
4026,Tinn,0.6729
4028,Kviteseid,0.7114
4030,Nissedal,0.7265
4032,Fyresdal,0.707
4034,Tokke,0.6943
4036,Vinje,0.6812
