Kommunenummer,Kommune,Andel
4001,Porsgrunn,0.9243
4003,Skien,0.9005
4005,Notodden,0.9412
4010,Siljan,0.9733
4012,Bamble,0.9599
4014,Kragerø,0.9385
4016,Drangedal,0.9473
4018,Nome,0.9577
4020,Midt-Telemark,0.9641
4022,Seljord,0.9745
4024,Hjartdal,0.9381
4026,Tinn,0.968
4028,Kviteseid,0.9712
4030,Nissedal,0.9826
4032,Fyresdal,0.9749
4034,Tokke,0.9672
4036,Vinje,0.9664
