Kommune;Andel
Porsgrunn;0.1923
Skien;0.1776
Notodden;0.1567
Siljan;0.1879
Bamble;0.1638
Kragerø;0.1956
Drangedal;0.1538
Nome;0.176
Midt-Telemark;0.1625
Seljord;0.1551
Hjartdal;0.1717
Tinn;0.1902
Kviteseid;0.1777
Nissedal;0.186
Fyresdal;0.2168
Tokke;0.2018
Vinje;0.2079
