Kommune;Andel
Porsgrunn;0.8512
Skien;0.8037
Notodden;0.8202
Siljan;0.4063
Bamble;0.5816
Kragerø;0.3099
Drangedal;0.5146
Nome;0.5987
Midt-Telemark;0.8167
Seljord;0.6886
Hjartdal;0.2887
Tinn;0.6119
Kviteseid;0.2672
Nissedal;0.5205
Fyresdal;0.6923
Tokke;0.5974
Vinje;0.518
