Kommune;Andel
Porsgrunn;0.2441
Skien;0.2681
Notodden;0.2995
Siljan;0.2104
Bamble;0.2305
Kragerø;0.2194
Drangedal;0.2601
Nome;0.2704
Midt-Telemark;0.266
Seljord;0.2584
Hjartdal;0.2884
Tinn;0.2125
Kviteseid;0.231
Nissedal;0.2423
Fyresdal;0.205
Tokke;0.2153
Vinje;0.2126
