Kommune;Andel
Porsgrunn;0.1234
Skien;0.1407
Notodden;0.1487
Siljan;0.1387
Bamble;0.1497
Kragerø;0.1527
Drangedal;0.1478
Nome;0.1532
Midt-Telemark;0.1411
Seljord;0.1349
Hjartdal;0.1626
Tinn;0.1412
Kviteseid;0.1186
Nissedal;0.1592
Fyresdal;0.1109
Tokke;0.1179
Vinje;0.0995
