Kommune;Andel
Porsgrunn;0.0809
Skien;0.08
Notodden;0.0983
Siljan;0.1021
Bamble;0.0679
Kragerø;0.1028
Drangedal;0.1011
Nome;0.099
Midt-Telemark;0.0716
Seljord;0.0982
Hjartdal;0.0701
Tinn;0.0971
Kviteseid;0.1053
Nissedal;0.1084
Fyresdal;0.1221
Tokke;0.0952
Vinje;0.076
