Kommune;Andel
Porsgrunn;0.667
Skien;0.6568
Notodden;0.6358
Siljan;0.6448
Bamble;0.6528
Kragerø;0.6469
Drangedal;0.6348
Nome;0.6385
Midt-Telemark;0.6297
Seljord;0.6435
Hjartdal;0.6156
Tinn;0.6323
Kviteseid;0.6144
Nissedal;0.6573
Fyresdal;0.6527
Tokke;0.6379
Vinje;0.6499
