Kommune;Andel
Porsgrunn;0.161
Skien;0.1753
Notodden;0.1702
Siljan;0.1837
Bamble;0.1713
Kragerø;0.1977
Drangedal;0.1659
Nome;0.1689
Midt-Telemark;0.1766
Seljord;0.1875
Hjartdal;0.1406
Tinn;0.1625
Kviteseid;0.159
Nissedal;0.1466
Fyresdal;0.1485
Tokke;0.1558
Vinje;0.1692
