Kommune;Andel
Porsgrunn;0.6826
Skien;0.6099
Notodden;0.2975
Siljan;0.4588
Bamble;0.566
Kragerø;0.2661
Drangedal;0.1379
Nome;0.3035
Midt-Telemark;0.3587
Seljord;0.325
Hjartdal;0.1378
Tinn;0.1964
Kviteseid;0.1042
Nissedal;0.0535
Fyresdal;0.1736
Tokke;0.0934
Vinje;0.1016
