Kommune;Andel
Porsgrunn;0.9095
Skien;0.8975
Notodden;0.929
Siljan;0.9668
Bamble;0.943
Kragerø;0.8834
Drangedal;0.9487
Nome;0.9455
Midt-Telemark;0.9476
Seljord;0.9269
Hjartdal;0.9308
Tinn;0.9291
Kviteseid;0.9412
Nissedal;0.9733
Fyresdal;0.9842
Tokke;0.9655
Vinje;0.9531
