Kommune;Andel
Porsgrunn;0.8815
Skien;0.8104
Notodden;0.728
Siljan;0.4707
Bamble;0.7581
Kragerø;0.701
Drangedal;0.4744
Nome;0.6067
Midt-Telemark;0.8326
Seljord;0.6988
Hjartdal;0.3515
Tinn;0.5737
Kviteseid;0.4411
Nissedal;0.577
Fyresdal;0.4793
Tokke;0.491
Vinje;0.5303
