Kommune;Andel
Porsgrunn;0.3924
Skien;0.3991
Notodden;0.4334
Siljan;0.3722
Bamble;0.4118
Kragerø;0.4196
Drangedal;0.4222
Nome;0.4149
Midt-Telemark;0.3989
Seljord;0.4157
Hjartdal;0.42
Tinn;0.4155
Kviteseid;0.3917
Nissedal;0.4234
Fyresdal;0.3599
Tokke;0.3599
Vinje;0.3832
