Kommune;Andel
Porsgrunn;0.2973
Skien;0.3002
Notodden;0.2754
Siljan;0.2564
Bamble;0.3171
Kragerø;0.313
Drangedal;0.26
Nome;0.2641
Midt-Telemark;0.303
Seljord;0.2564
Hjartdal;0.2137
Tinn;0.22
Kviteseid;0.3129
Nissedal;0.341
Fyresdal;0.2475
Tokke;0.2661
Vinje;0.2664
