Kommune;Andel
Porsgrunn;0.4429
Skien;0.4536
Notodden;0.4763
Siljan;0.4177
Bamble;0.43
Kragerø;0.4579
Drangedal;0.4787
Nome;0.436
Midt-Telemark;0.4334
Seljord;0.4496
Hjartdal;0.4879
Tinn;0.4709
Kviteseid;0.4523
Nissedal;0.4021
Fyresdal;0.3951
Tokke;0.4293
Vinje;0.4131
