Kommune;Andel
Porsgrunn;0.8175
Skien;0.8116
Notodden;0.7799
Siljan;0.8071
Bamble;0.8029
Kragerø;0.8093
Drangedal;0.7953
Nome;0.7752
Midt-Telemark;0.8062
Seljord;0.7756
Hjartdal;0.7459
Tinn;0.7708
Kviteseid;0.7832
Nissedal;0.8035
Fyresdal;0.7886
Tokke;0.8045
Vinje;0.7902
