Kommune;Andel
Porsgrunn;0.2897
Skien;0.2891
Notodden;0.3629
Siljan;0.3279
Bamble;0.3101
Kragerø;0.2651
Drangedal;0.3767
Nome;0.33
Midt-Telemark;0.3131
Seljord;0.3283
Hjartdal;0.4077
Tinn;0.3249
Kviteseid;0.2998
Nissedal;0.3355
Fyresdal;0.2992
Tokke;0.3549
Vinje;0.3299
