Kommune;Andel
Porsgrunn;0.814
Skien;0.8166
Notodden;0.7758
Siljan;0.7916
Bamble;0.8065
Kragerø;0.8132
Drangedal;0.7818
Nome;0.7857
Midt-Telemark;0.8026
Seljord;0.8036
Hjartdal;0.7366
Tinn;0.7713
Kviteseid;0.7891
Nissedal;0.7948
Fyresdal;0.7877
Tokke;0.7768
Vinje;0.8009
