Kommune;Andel
Porsgrunn;0.792
Skien;0.7692
Notodden;0.7831
Siljan;0.8066
Bamble;0.8193
Kragerø;0.7974
Drangedal;0.7914
Nome;0.7616
Midt-Telemark;0.7869
Seljord;0.7642
Hjartdal;0.7294
Tinn;0.8021
Kviteseid;0.7964
Nissedal;0.7831
Fyresdal;0.7992
Tokke;0.801
Vinje;0.7891
