Kommune;Andel
Porsgrunn;0.2968
Skien;0.3168
Notodden;0.3025
Siljan;0.2933
Bamble;0.2879
Kragerø;0.3552
Drangedal;0.3045
Nome;0.3286
Midt-Telemark;0.3433
Seljord;0.275
Hjartdal;0.3063
Tinn;0.3173
Kviteseid;0.3596
Nissedal;0.3312
Fyresdal;0.3238
Tokke;0.3145
Vinje;0.3264
