Kommune;Andel
Porsgrunn;0.5242
Skien;0.5261
Notodden;0.5695
Siljan;0.5556
Bamble;0.5392
Kragerø;0.581
Drangedal;0.5139
Nome;0.5381
Midt-Telemark;0.5444
Seljord;0.5451
Hjartdal;0.5309
Tinn;0.48
Kviteseid;0.5279
Nissedal;0.5228
Fyresdal;0.5314
Tokke;0.5603
Vinje;0.5039
