Kommune;Andel
Porsgrunn;0.7133
Skien;0.7302
Notodden;0.654
Siljan;0.7697
Bamble;0.7017
Kragerø;0.7237
Drangedal;0.6564
Nome;0.7419
Midt-Telemark;0.692
Seljord;0.7432
Hjartdal;0.6525
Tinn;0.7029
Kviteseid;0.7158
Nissedal;0.6604
Fyresdal;0.6613
Tokke;0.7169
Vinje;0.6914
