Kommune;Andel
Porsgrunn;0.7367
Skien;0.6968
Notodden;0.6809
Siljan;0.7741
Bamble;0.7664
Kragerø;0.6983
Drangedal;0.6646
Nome;0.6807
Midt-Telemark;0.7094
Seljord;0.6924
Hjartdal;0.6411
Tinn;0.6729
Kviteseid;0.7114
Nissedal;0.7265
Fyresdal;0.707
Tokke;0.6943
Vinje;0.6812
