Kommune;Andel
Porsgrunn;0.8395
Skien;0.8209
Notodden;0.7954
Siljan;0.798
Bamble;0.8177
Kragerø;0.6932
Drangedal;0.5522
Nome;0.6604
Midt-Telemark;0.8316
Seljord;0.774
Hjartdal;0.3779
Tinn;0.8051
Kviteseid;0.563
Nissedal;0.6674
Fyresdal;0.8501
Tokke;0.7705
Vinje;0.8095
