Kommune;Andel
Porsgrunn;0.9243
Skien;0.9005
Notodden;0.9412
Siljan;0.9733
Bamble;0.9599
Kragerø;0.9385
Drangedal;0.9473
Nome;0.9577
Midt-Telemark;0.9641
Seljord;0.9745
Hjartdal;0.9381
Tinn;0.968
Kviteseid;0.9712
Nissedal;0.9826
Fyresdal;0.9749
Tokke;0.9672
Vinje;0.9664
