Kommune;Andel
Porsgrunn;0.1906
Skien;0.1742
Notodden;0.13
Siljan;0.1329
Bamble;0.1888
Kragerø;0.1974
Drangedal;0.0989
Nome;0.1185
Midt-Telemark;0.1327
Seljord;0.1434
Hjartdal;0.0741
Tinn;0.1639
Kviteseid;0.1301
Nissedal;0.1405
Fyresdal;0.1163
Tokke;0.1081
Vinje;0.1559
