Kommune;Andel
Porsgrunn;0.1304
Skien;0.1342
Notodden;0.1218
Siljan;0.1022
Bamble;0.0977
Kragerø;0.1011
Drangedal;0.1111
Nome;0.1286
Midt-Telemark;0.1065
Seljord;0.0669
Hjartdal;0.1179
Tinn;0.1543
Kviteseid;0.1083
Nissedal;0.0693
Fyresdal;0.0619
Tokke;0.0929
Vinje;0.0871
