Kommune;Andel
Porsgrunn;0.2032
Skien;0.2008
Notodden;0.1899
Siljan;0.167
Bamble;0.1737
Kragerø;0.1957
Drangedal;0.1566
Nome;0.165
Midt-Telemark;0.2095
Seljord;0.1515
Hjartdal;0.1464
Tinn;0.1945
Kviteseid;0.1895
Nissedal;0.1242
Fyresdal;0.1918
Tokke;0.1624
Vinje;0.1939
