Kommune;Andel
Porsgrunn;0.0566
Skien;0.0721
Notodden;0.0746
Siljan;0.0694
Bamble;0.0756
Kragerø;0.0717
Drangedal;0.0681
Nome;0.0718
Midt-Telemark;0.0665
Seljord;0.0594
Hjartdal;0.0761
Tinn;0.0684
Kviteseid;0.074
Nissedal;0.0592
Fyresdal;0.0484
Tokke;0.0419
Vinje;0.0537
