Kommune;Andel
Porsgrunn;0.1522
Skien;0.1731
Notodden;0.1836
Siljan;0.1566
Bamble;0.1496
Kragerø;0.1476
Drangedal;0.1492
Nome;0.1597
Midt-Telemark;0.1664
Seljord;0.1526
Hjartdal;0.1577
Tinn;0.1524
Kviteseid;0.1394
Nissedal;0.1483
Fyresdal;0.14
Tokke;0.121
Vinje;0.1245
