Kommune;Andel
Porsgrunn;0.1156
Skien;0.1041
Notodden;0.1456
Siljan;0.0786
Bamble;0.0958
Kragerø;0.1011
Drangedal;0.1268
Nome;0.1052
Midt-Telemark;0.1262
Seljord;0.0929
Hjartdal;0.1805
Tinn;0.1222
Kviteseid;0.1295
Nissedal;0.1312
Fyresdal;0.1563
Tokke;0.1455
Vinje;0.1645
