Kommune;Andel
Porsgrunn;0.1486
Skien;0.1342
Notodden;0.1296
Siljan;0.112
Bamble;0.1406
Kragerø;0.1783
Drangedal;0.1209
Nome;0.099
Midt-Telemark;0.1071
Seljord;0.1222
Hjartdal;0.0928
Tinn;0.1027
Kviteseid;0.125
Nissedal;0.1283
Fyresdal;0.1167
Tokke;0.1403
Vinje;0.0991
