Kommune;Andel
Porsgrunn;0.3175
Skien;0.3209
Notodden;0.2924
Siljan;0.3882
Bamble;0.335
Kragerø;0.3645
Drangedal;0.3598
Nome;0.3262
Midt-Telemark;0.3503
Seljord;0.3623
Hjartdal;0.2924
Tinn;0.3194
Kviteseid;0.3765
Nissedal;0.3605
Fyresdal;0.3538
Tokke;0.3952
Vinje;0.3818
