Kommunenavn,Jordbruksareal (2024)
Midt-Telemark,47820
Skien,45330
Nome,29480
Notodden,23120
Vinje,19470
Seljord,14350
Hjartdal,13850
Tinn,13620
Tokke,13260
Drangedal,12740
Kviteseid,12110
Bamble,8950
Fyresdal,8690
Porsgrunn,8070
Siljan,6770
Kragerø,6480
Nissedal,5380
