Kommunenavn,Jordbruksareal (2024)
Porsgrunn,8119
Skien,45720
Notodden,23060
Siljan,6760
Bamble,8950
Kragerø,6490
Drangedal,13010
Nome,29460
Midt-Telemark,47860
Seljord,14930
Hjartdal,13810
Tinn,13610
Kviteseid,11900
Nissedal,5210
Fyresdal,8690
Tokke,13190
Vinje,19400
