Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger,Dato
Fylker,Møre og Romsdal,Ledere,116.0,35.0,2025-08-01
Fylker,Møre og Romsdal,Meglere og konsulenter,67.0,36.0,2025-08-01
Fylker,Møre og Romsdal,Reiseliv og transport,333.0,110.0,2025-08-01
Fylker,Møre og Romsdal,Serviceyrker og annet arbeid,337.0,77.0,2025-08-01
Fylker,Møre og Romsdal,Undervisning,150.0,52.0,2025-08-01
Fylker,Nordland,Akademiske yrker,50.0,37.0,2025-08-01
Fylker,Nordland,Barne- og ungdomsarbeid,184.0,61.0,2025-08-01
Fylker,Nordland,Butikk- og salgsarbeid,293.0,228.0,2025-08-01
Fylker,Nordland,Bygg og anlegg,210.0,133.0,2025-08-01
Fylker,Nordland,"Helse, pleie og omsorg",231.0,393.0,2025-08-01
Fylker,Nordland,Industriarbeid,446.0,148.0,2025-08-01
Fylker,Nordland,Ingen yrkesbakgrunn eller uoppgitt,579.0,0.0,2025-08-01
Fylker,Nordland,Ingeniør- og ikt-fag,124.0,65.0,2025-08-01
Fylker,Nordland,"Jordbruk, skogbruk og fiske",91.0,6.0,2025-08-01
Fylker,Nordland,Kontorarbeid,137.0,50.0,2025-08-01
Fylker,Nordland,Ledere,82.0,32.0,2025-08-01
Fylker,Nordland,Meglere og konsulenter,42.0,15.0,2025-08-01
Fylker,Nordland,Reiseliv og transport,242.0,130.0,2025-08-01
Fylker,Nordland,Serviceyrker og annet arbeid,307.0,146.0,2025-08-01
Fylker,Nordland,Undervisning,97.0,70.0,2025-08-01
Fylker,Oslo,Akademiske yrker,664.0,290.0,2025-08-01
Fylker,Oslo,Barne- og ungdomsarbeid,758.0,219.0,2025-08-01
Fylker,Oslo,Butikk- og salgsarbeid,1422.0,748.0,2025-08-01
Fylker,Oslo,Bygg og anlegg,1045.0,345.0,2025-08-01
Fylker,Oslo,"Helse, pleie og omsorg",1073.0,737.0,2025-08-01
Fylker,Oslo,Industriarbeid,515.0,328.0,2025-08-01
Fylker,Oslo,Ingen yrkesbakgrunn eller uoppgitt,1912.0,2.0,2025-08-01
Fylker,Oslo,Ingeniør- og ikt-fag,1452.0,535.0,2025-08-01
Fylker,Oslo,"Jordbruk, skogbruk og fiske",47.0,6.0,2025-08-01
Fylker,Oslo,Kontorarbeid,1376.0,523.0,2025-08-01
Fylker,Oslo,Ledere,1119.0,232.0,2025-08-01
Fylker,Oslo,Meglere og konsulenter,744.0,256.0,2025-08-01
Fylker,Oslo,Reiseliv og transport,1562.0,705.0,2025-08-01
Fylker,Oslo,Serviceyrker og annet arbeid,2070.0,591.0,2025-08-01
Fylker,Oslo,Undervisning,795.0,345.0,2025-08-01
Fylker,Rogaland,Akademiske yrker,137.0,66.0,2025-08-01
Fylker,Rogaland,Barne- og ungdomsarbeid,397.0,200.0,2025-08-01
Fylker,Rogaland,Butikk- og salgsarbeid,700.0,494.0,2025-08-01
Fylker,Rogaland,Bygg og anlegg,490.0,376.0,2025-08-01
Fylker,Rogaland,"Helse, pleie og omsorg",491.0,696.0,2025-08-01
Fylker,Rogaland,Industriarbeid,645.0,376.0,2025-08-01
Fylker,Rogaland,Ingen yrkesbakgrunn eller uoppgitt,1185.0,1.0,2025-08-01
Fylker,Rogaland,Ingeniør- og ikt-fag,525.0,288.0,2025-08-01
Fylker,Rogaland,"Jordbruk, skogbruk og fiske",106.0,6.0,2025-08-01
Fylker,Rogaland,Kontorarbeid,451.0,169.0,2025-08-01
Fylker,Rogaland,Ledere,306.0,60.0,2025-08-01
Fylker,Rogaland,Meglere og konsulenter,227.0,136.0,2025-08-01
Fylker,Rogaland,Reiseliv og transport,661.0,178.0,2025-08-01
Fylker,Rogaland,Serviceyrker og annet arbeid,744.0,165.0,2025-08-01
Fylker,Rogaland,Undervisning,267.0,119.0,2025-08-01
Fylker,Sogn og Fjordane,Bygg og anlegg,0.0,2.0,2025-08-01
Fylker,Sogn og Fjordane,Industriarbeid,0.0,2.0,2025-08-01
Fylker,Svalbard og øvrige områder,Akademiske yrker,1.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Barne- og ungdomsarbeid,1.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Butikk- og salgsarbeid,1.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Bygg og anlegg,1.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,"Helse, pleie og omsorg",0.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Industriarbeid,0.0,0.0,2025-08-01
Fylker,Svalbard og øvrige områder,Ingen yrkesbakgrunn eller uoppgitt,2.0,0.0,2025-08-01
