Nivå,Geografisk enhet,Yrke,Antall søkere,Antall utlyste stillinger,Dato
Telemark kommuner,Hjartdal,Butikk- og salgsarbeid,0.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Bygg og anlegg,2.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,"Helse, pleie og omsorg",3.0,6.0,2025-08-01
Telemark kommuner,Hjartdal,Industriarbeid,1.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Ingen yrkesbakgrunn eller uoppgitt,3.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Ingeniør- og ikt-fag,1.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,"Jordbruk, skogbruk og fiske",0.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Kontorarbeid,4.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Ledere,0.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Meglere og konsulenter,1.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Reiseliv og transport,1.0,1.0,2025-08-01
Telemark kommuner,Hjartdal,Serviceyrker og annet arbeid,5.0,0.0,2025-08-01
Telemark kommuner,Hjartdal,Undervisning,1.0,1.0,2025-08-01
Telemark kommuner,Kragerø,Akademiske yrker,3.0,0.0,2025-08-01
Telemark kommuner,Kragerø,Barne- og ungdomsarbeid,7.0,0.0,2025-08-01
Telemark kommuner,Kragerø,Butikk- og salgsarbeid,16.0,9.0,2025-08-01
Telemark kommuner,Kragerø,Bygg og anlegg,9.0,2.0,2025-08-01
Telemark kommuner,Kragerø,"Helse, pleie og omsorg",15.0,16.0,2025-08-01
Telemark kommuner,Kragerø,Industriarbeid,15.0,0.0,2025-08-01
Telemark kommuner,Kragerø,Ingen yrkesbakgrunn eller uoppgitt,13.0,0.0,2025-08-01
Telemark kommuner,Kragerø,Ingeniør- og ikt-fag,5.0,0.0,2025-08-01
Telemark kommuner,Kragerø,"Jordbruk, skogbruk og fiske",1.0,0.0,2025-08-01
Telemark kommuner,Kragerø,Kontorarbeid,10.0,0.0,2025-08-01
Telemark kommuner,Kragerø,Ledere,11.0,1.0,2025-08-01
Telemark kommuner,Kragerø,Meglere og konsulenter,1.0,0.0,2025-08-01
Telemark kommuner,Kragerø,Reiseliv og transport,13.0,2.0,2025-08-01
Telemark kommuner,Kragerø,Serviceyrker og annet arbeid,23.0,2.0,2025-08-01
Telemark kommuner,Kragerø,Undervisning,7.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Akademiske yrker,0.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Barne- og ungdomsarbeid,0.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Butikk- og salgsarbeid,5.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Bygg og anlegg,5.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,"Helse, pleie og omsorg",0.0,2.0,2025-08-01
Telemark kommuner,Kviteseid,Industriarbeid,0.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Ingen yrkesbakgrunn eller uoppgitt,8.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Ingeniør- og ikt-fag,2.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Kontorarbeid,5.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Ledere,0.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Meglere og konsulenter,0.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Reiseliv og transport,3.0,0.0,2025-08-01
Telemark kommuner,Kviteseid,Serviceyrker og annet arbeid,6.0,4.0,2025-08-01
Telemark kommuner,Kviteseid,Undervisning,0.0,1.0,2025-08-01
Telemark kommuner,Midt-Telemark,Akademiske yrker,6.0,2.0,2025-08-01
Telemark kommuner,Midt-Telemark,Barne- og ungdomsarbeid,8.0,0.0,2025-08-01
Telemark kommuner,Midt-Telemark,Butikk- og salgsarbeid,24.0,7.0,2025-08-01
Telemark kommuner,Midt-Telemark,Bygg og anlegg,24.0,1.0,2025-08-01
Telemark kommuner,Midt-Telemark,"Helse, pleie og omsorg",20.0,6.0,2025-08-01
Telemark kommuner,Midt-Telemark,Industriarbeid,17.0,8.0,2025-08-01
Telemark kommuner,Midt-Telemark,Ingen yrkesbakgrunn eller uoppgitt,46.0,0.0,2025-08-01
Telemark kommuner,Midt-Telemark,Ingeniør- og ikt-fag,8.0,1.0,2025-08-01
Telemark kommuner,Midt-Telemark,"Jordbruk, skogbruk og fiske",8.0,1.0,2025-08-01
Telemark kommuner,Midt-Telemark,Kontorarbeid,19.0,2.0,2025-08-01
Telemark kommuner,Midt-Telemark,Ledere,5.0,1.0,2025-08-01
Telemark kommuner,Midt-Telemark,Meglere og konsulenter,6.0,1.0,2025-08-01
Telemark kommuner,Midt-Telemark,Reiseliv og transport,15.0,5.0,2025-08-01
Telemark kommuner,Midt-Telemark,Serviceyrker og annet arbeid,28.0,10.0,2025-08-01
Telemark kommuner,Midt-Telemark,Undervisning,19.0,1.0,2025-08-01
Telemark kommuner,Nissedal,Akademiske yrker,0.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Barne- og ungdomsarbeid,2.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Butikk- og salgsarbeid,3.0,1.0,2025-08-01
Telemark kommuner,Nissedal,Bygg og anlegg,0.0,0.0,2025-08-01
Telemark kommuner,Nissedal,"Helse, pleie og omsorg",1.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Industriarbeid,3.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Ingen yrkesbakgrunn eller uoppgitt,5.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Ingeniør- og ikt-fag,0.0,0.0,2025-08-01
Telemark kommuner,Nissedal,"Jordbruk, skogbruk og fiske",0.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Kontorarbeid,0.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Ledere,1.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Meglere og konsulenter,0.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Reiseliv og transport,1.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Serviceyrker og annet arbeid,4.0,0.0,2025-08-01
Telemark kommuner,Nissedal,Undervisning,0.0,0.0,2025-08-01
Telemark kommuner,Nome,Akademiske yrker,2.0,0.0,2025-08-01
Telemark kommuner,Nome,Barne- og ungdomsarbeid,11.0,1.0,2025-08-01
Telemark kommuner,Nome,Butikk- og salgsarbeid,11.0,2.0,2025-08-01
Telemark kommuner,Nome,Bygg og anlegg,12.0,1.0,2025-08-01
Telemark kommuner,Nome,"Helse, pleie og omsorg",8.0,11.0,2025-08-01
Telemark kommuner,Nome,Industriarbeid,13.0,1.0,2025-08-01
Telemark kommuner,Nome,Ingen yrkesbakgrunn eller uoppgitt,25.0,0.0,2025-08-01
Telemark kommuner,Nome,Ingeniør- og ikt-fag,1.0,2.0,2025-08-01
Telemark kommuner,Nome,"Jordbruk, skogbruk og fiske",4.0,0.0,2025-08-01
Telemark kommuner,Nome,Kontorarbeid,2.0,0.0,2025-08-01
Telemark kommuner,Nome,Ledere,3.0,0.0,2025-08-01
Telemark kommuner,Nome,Meglere og konsulenter,0.0,0.0,2025-08-01
Telemark kommuner,Nome,Reiseliv og transport,11.0,1.0,2025-08-01
Telemark kommuner,Nome,Serviceyrker og annet arbeid,21.0,0.0,2025-08-01
Telemark kommuner,Nome,Undervisning,1.0,0.0,2025-08-01
Telemark kommuner,Notodden,Akademiske yrker,1.0,0.0,2025-08-01
Telemark kommuner,Notodden,Barne- og ungdomsarbeid,10.0,5.0,2025-08-01
Telemark kommuner,Notodden,Butikk- og salgsarbeid,37.0,16.0,2025-08-01
Telemark kommuner,Notodden,Bygg og anlegg,27.0,4.0,2025-08-01
Telemark kommuner,Notodden,"Helse, pleie og omsorg",20.0,17.0,2025-08-01
Telemark kommuner,Notodden,Industriarbeid,27.0,1.0,2025-08-01
Telemark kommuner,Notodden,Ingen yrkesbakgrunn eller uoppgitt,36.0,0.0,2025-08-01
Telemark kommuner,Notodden,Ingeniør- og ikt-fag,12.0,0.0,2025-08-01
Telemark kommuner,Notodden,"Jordbruk, skogbruk og fiske",2.0,0.0,2025-08-01
Telemark kommuner,Notodden,Kontorarbeid,11.0,1.0,2025-08-01
Telemark kommuner,Notodden,Ledere,6.0,0.0,2025-08-01
Telemark kommuner,Notodden,Meglere og konsulenter,1.0,0.0,2025-08-01
Telemark kommuner,Notodden,Reiseliv og transport,17.0,2.0,2025-08-01
Telemark kommuner,Notodden,Serviceyrker og annet arbeid,21.0,18.0,2025-08-01
Telemark kommuner,Notodden,Undervisning,8.0,2.0,2025-08-01
Telemark kommuner,Porsgrunn,Akademiske yrker,12.0,9.0,2025-08-01
Telemark kommuner,Porsgrunn,Barne- og ungdomsarbeid,42.0,5.0,2025-08-01
Telemark kommuner,Porsgrunn,Butikk- og salgsarbeid,99.0,30.0,2025-08-01
Telemark kommuner,Porsgrunn,Bygg og anlegg,68.0,36.0,2025-08-01
Telemark kommuner,Porsgrunn,"Helse, pleie og omsorg",79.0,33.0,2025-08-01
Telemark kommuner,Porsgrunn,Industriarbeid,86.0,24.0,2025-08-01
Telemark kommuner,Porsgrunn,Ingen yrkesbakgrunn eller uoppgitt,114.0,0.0,2025-08-01
Telemark kommuner,Porsgrunn,Ingeniør- og ikt-fag,43.0,8.0,2025-08-01
Telemark kommuner,Porsgrunn,"Jordbruk, skogbruk og fiske",10.0,0.0,2025-08-01
Telemark kommuner,Porsgrunn,Kontorarbeid,40.0,10.0,2025-08-01
Telemark kommuner,Porsgrunn,Ledere,35.0,6.0,2025-08-01
Telemark kommuner,Porsgrunn,Meglere og konsulenter,16.0,6.0,2025-08-01
Telemark kommuner,Porsgrunn,Reiseliv og transport,66.0,16.0,2025-08-01
Telemark kommuner,Porsgrunn,Serviceyrker og annet arbeid,82.0,2.0,2025-08-01
Telemark kommuner,Porsgrunn,Undervisning,38.0,17.0,2025-08-01
Telemark kommuner,Seljord,Akademiske yrker,1.0,0.0,2025-08-01
Telemark kommuner,Seljord,Barne- og ungdomsarbeid,2.0,1.0,2025-08-01
Telemark kommuner,Seljord,Butikk- og salgsarbeid,3.0,6.0,2025-08-01
Telemark kommuner,Seljord,Bygg og anlegg,3.0,0.0,2025-08-01
Telemark kommuner,Seljord,"Helse, pleie og omsorg",3.0,3.0,2025-08-01
Telemark kommuner,Seljord,Industriarbeid,3.0,4.0,2025-08-01
Telemark kommuner,Seljord,Ingen yrkesbakgrunn eller uoppgitt,13.0,0.0,2025-08-01
Telemark kommuner,Seljord,Ingeniør- og ikt-fag,1.0,1.0,2025-08-01
Telemark kommuner,Seljord,Kontorarbeid,1.0,0.0,2025-08-01
Telemark kommuner,Seljord,Ledere,1.0,0.0,2025-08-01
Telemark kommuner,Seljord,Meglere og konsulenter,1.0,0.0,2025-08-01
Telemark kommuner,Seljord,Reiseliv og transport,4.0,3.0,2025-08-01
Telemark kommuner,Seljord,Serviceyrker og annet arbeid,2.0,3.0,2025-08-01
Telemark kommuner,Seljord,Undervisning,2.0,0.0,2025-08-01
Telemark kommuner,Siljan,Akademiske yrker,0.0,0.0,2025-08-01
Telemark kommuner,Siljan,Barne- og ungdomsarbeid,5.0,0.0,2025-08-01
Telemark kommuner,Siljan,Butikk- og salgsarbeid,8.0,0.0,2025-08-01
Telemark kommuner,Siljan,Bygg og anlegg,3.0,1.0,2025-08-01
Telemark kommuner,Siljan,"Helse, pleie og omsorg",1.0,1.0,2025-08-01
Telemark kommuner,Siljan,Industriarbeid,6.0,0.0,2025-08-01
Telemark kommuner,Siljan,Ingen yrkesbakgrunn eller uoppgitt,6.0,0.0,2025-08-01
Telemark kommuner,Siljan,Ingeniør- og ikt-fag,0.0,0.0,2025-08-01
Telemark kommuner,Siljan,"Jordbruk, skogbruk og fiske",2.0,0.0,2025-08-01
Telemark kommuner,Siljan,Kontorarbeid,1.0,3.0,2025-08-01
Telemark kommuner,Siljan,Ledere,1.0,0.0,2025-08-01
Telemark kommuner,Siljan,Reiseliv og transport,4.0,0.0,2025-08-01
Telemark kommuner,Siljan,Serviceyrker og annet arbeid,2.0,0.0,2025-08-01
Telemark kommuner,Siljan,Undervisning,1.0,1.0,2025-08-01
Telemark kommuner,Skien,Akademiske yrker,14.0,7.0,2025-08-01
Telemark kommuner,Skien,Barne- og ungdomsarbeid,76.0,0.0,2025-08-01
Telemark kommuner,Skien,Butikk- og salgsarbeid,122.0,73.0,2025-08-01
Telemark kommuner,Skien,Bygg og anlegg,125.0,32.0,2025-08-01
Telemark kommuner,Skien,"Helse, pleie og omsorg",91.0,89.0,2025-08-01
Telemark kommuner,Skien,Industriarbeid,107.0,25.0,2025-08-01
Telemark kommuner,Skien,Ingen yrkesbakgrunn eller uoppgitt,123.0,0.0,2025-08-01
Telemark kommuner,Skien,Ingeniør- og ikt-fag,50.0,25.0,2025-08-01
Telemark kommuner,Skien,"Jordbruk, skogbruk og fiske",11.0,3.0,2025-08-01
Telemark kommuner,Skien,Kontorarbeid,69.0,12.0,2025-08-01
Telemark kommuner,Skien,Ledere,31.0,8.0,2025-08-01
Telemark kommuner,Skien,Meglere og konsulenter,24.0,12.0,2025-08-01
Telemark kommuner,Skien,Reiseliv og transport,101.0,24.0,2025-08-01
Telemark kommuner,Skien,Serviceyrker og annet arbeid,112.0,73.0,2025-08-01
Telemark kommuner,Skien,Undervisning,35.0,3.0,2025-08-01
Telemark kommuner,Tinn,Akademiske yrker,0.0,0.0,2025-08-01
Telemark kommuner,Tinn,Barne- og ungdomsarbeid,3.0,0.0,2025-08-01
Telemark kommuner,Tinn,Butikk- og salgsarbeid,16.0,1.0,2025-08-01
Telemark kommuner,Tinn,Bygg og anlegg,11.0,0.0,2025-08-01
Telemark kommuner,Tinn,"Helse, pleie og omsorg",9.0,3.0,2025-08-01
Telemark kommuner,Tinn,Industriarbeid,5.0,2.0,2025-08-01
Telemark kommuner,Tinn,Ingen yrkesbakgrunn eller uoppgitt,6.0,0.0,2025-08-01
Telemark kommuner,Tinn,Ingeniør- og ikt-fag,1.0,0.0,2025-08-01
Telemark kommuner,Tinn,"Jordbruk, skogbruk og fiske",0.0,0.0,2025-08-01
Telemark kommuner,Tinn,Kontorarbeid,4.0,1.0,2025-08-01
Telemark kommuner,Tinn,Ledere,1.0,0.0,2025-08-01
Telemark kommuner,Tinn,Meglere og konsulenter,1.0,0.0,2025-08-01
Telemark kommuner,Tinn,Reiseliv og transport,8.0,1.0,2025-08-01
Telemark kommuner,Tinn,Serviceyrker og annet arbeid,5.0,1.0,2025-08-01
Telemark kommuner,Tinn,Undervisning,3.0,0.0,2025-08-01
Telemark kommuner,Tokke,Akademiske yrker,0.0,0.0,2025-08-01
Telemark kommuner,Tokke,Barne- og ungdomsarbeid,2.0,0.0,2025-08-01
Telemark kommuner,Tokke,Butikk- og salgsarbeid,2.0,1.0,2025-08-01
Telemark kommuner,Tokke,Bygg og anlegg,4.0,4.0,2025-08-01
Telemark kommuner,Tokke,"Helse, pleie og omsorg",2.0,1.0,2025-08-01
Telemark kommuner,Tokke,Industriarbeid,3.0,0.0,2025-08-01
Telemark kommuner,Tokke,Ingen yrkesbakgrunn eller uoppgitt,0.0,0.0,2025-08-01
Telemark kommuner,Tokke,Ingeniør- og ikt-fag,3.0,0.0,2025-08-01
Telemark kommuner,Tokke,"Jordbruk, skogbruk og fiske",0.0,0.0,2025-08-01
Telemark kommuner,Tokke,Kontorarbeid,4.0,3.0,2025-08-01
Telemark kommuner,Tokke,Ledere,1.0,0.0,2025-08-01
Telemark kommuner,Tokke,Meglere og konsulenter,1.0,0.0,2025-08-01
Telemark kommuner,Tokke,Reiseliv og transport,2.0,4.0,2025-08-01
Telemark kommuner,Tokke,Serviceyrker og annet arbeid,3.0,1.0,2025-08-01
Telemark kommuner,Tokke,Undervisning,1.0,0.0,2025-08-01
Telemark kommuner,Vinje,Akademiske yrker,2.0,0.0,2025-08-01
Telemark kommuner,Vinje,Barne- og ungdomsarbeid,1.0,0.0,2025-08-01
Telemark kommuner,Vinje,Butikk- og salgsarbeid,5.0,18.0,2025-08-01
Telemark kommuner,Vinje,Bygg og anlegg,4.0,9.0,2025-08-01
Telemark kommuner,Vinje,"Helse, pleie og omsorg",1.0,3.0,2025-08-01
Telemark kommuner,Vinje,Industriarbeid,1.0,0.0,2025-08-01
Telemark kommuner,Vinje,Ingen yrkesbakgrunn eller uoppgitt,22.0,0.0,2025-08-01
Telemark kommuner,Vinje,Ingeniør- og ikt-fag,2.0,0.0,2025-08-01
Telemark kommuner,Vinje,"Jordbruk, skogbruk og fiske",1.0,2.0,2025-08-01
Telemark kommuner,Vinje,Kontorarbeid,0.0,1.0,2025-08-01
Telemark kommuner,Vinje,Ledere,2.0,0.0,2025-08-01
Telemark kommuner,Vinje,Meglere og konsulenter,0.0,0.0,2025-08-01
Telemark kommuner,Vinje,Reiseliv og transport,4.0,2.0,2025-08-01
Telemark kommuner,Vinje,Serviceyrker og annet arbeid,3.0,7.0,2025-08-01
Telemark kommuner,Vinje,Undervisning,0.0,1.0,2025-08-01
