Kommune;Til fots;Sykkel;Kollektiv (eks. fly);Bilfører;Bilpassasjer;Annet
Grenland 2018/19;16;6;5;61;11;1
Grenland 2013/14;17;4;4;63;10;2
Grenland 2009;17;5;4;57;14;3
Grenland 2005;18;5;3;59;13;2
Vestfoldbyene 2018/19;17;5;6;60;11;2
Vestfoldbyene 2013/14;18;6;6;60;8;2
Vestfoldbyene 2009;18;7;5;56;12;2
Vestfoldbyene 2005;18;6;5;58;11;2
