ï»¿ogc_fid;ssbid250m;pop_tot
318;22992506542500;13
319;22992506542750;5
320;22990006542500;4
321;22997506543250;4
322;22995006543500;5
323;22997506543500;6
324;22985006544750;2
325;22982506544750;1
326;22977506545250;2
327;22980006545500;5
328;23415006643500;4
329;23512506650500;3
330;23512506650750;2
331;23510006651000;4
332;23512506651250;1
333;23517506651250;2
334;23415006645000;1
335;23415006645500;1
336;23417506645500;1
337;23415006645750;6
338;23420006646750;1
339;23417506646750;3
340;23442506646250;1
341;23437506646500;2
342;23430006646500;1
343;23435006646500;2
344;23427506646500;4
345;23427506647250;6
346;23425006647250;7
347;23447506646000;3
348;23447506646250;2
349;23445006646500;2
350;23445006646750;1
351;23445006647000;2
352;23447506647250;1
353;23452506647000;2
354;23457506647000;7
355;23447506647500;7
356;23450006647500;2
357;23445006647500;4
358;23447506648000;3
359;23455006648250;1
360;23465006647750;2
361;23440006646500;4
362;23440006646750;8
363;23442506646750;4
364;23437506647000;2
365;23440006647000;11
366;23437506647250;3
367;23442506647250;6
368;23435006647250;1
369;23432506647500;3
370;23435006647750;6
371;23432506647750;24
372;23432506648000;45
373;23435006648000;2
374;23432506648250;37
375;23427506647500;1
376;23437506648250;4
377;23437506648500;7
378;23437506648750;19
379;23440006649000;11
380;23432506648500;30
381;23430006648500;34
382;23435006648500;9
383;23432506648750;53
384;23430006648750;65
385;23435006648750;33
386;23435006649000;35
387;23430006649000;40
388;23427506648750;48
389;23425006649000;16
390;23427506649000;61
391;23427506649500;2
392;23442506649000;7
393;23437506649000;14
394;23437506649250;40
395;23440006649250;59
396;23437506649500;15
397;23440006649500;8
398;23432506649000;83
399;23432506649250;52
400;23430006649250;8
401;23435006649250;34
402;23430006649500;1
403;23435006649500;19
404;23430006649750;1
405;23432506649750;7
406;23435006649750;11
407;23410006647000;1
408;23415006647250;2
409;23417506647000;3
410;23417506647250;2
411;23422506647250;3
412;23407506647500;1
413;23407506647750;2
414;23402506648000;3
415;23407506648000;9
416;23405006648000;8
417;23410006647250;3
418;23415006647500;5
419;23415006647750;7
420;23415006648000;7
421;23417506647750;8
422;23417506648000;3
423;23420006648250;13
424;23417506648250;2
425;23422506648500;2
426;23417506648500;5
427;23405006648250;3
428;23407506648250;3
429;23402506648500;3
430;23410006648250;3
431;23412506648250;4
432;23410006648500;2
433;23412506648750;2
434;23415006648750;11
435;23412506649000;2
