;Estimert mangel på arbeidskraft 2021;Sysselsatte 4. kvartal 2020;Stramhetsindikator næring
Jordbruk, skogbruk og fiske;50;3352;1,5
Bergverksdrift og utvinning;0;633;0,0
Industrien;250;18771;1,3
Elektrisitet, vann og renovasjon;0;2616;0,0
Bygge- og anleggsvirksomhet;900;18216;4,9
Varehandel, motorvognreparasjoner;400;25988;1,5
Transport og lagring;100;7756;1,3
Overnattings- og serveringsvirksomhet;200;5079;3,9
Informasjon og kommunikasjon;150;4132;3,6
Finansierings- og forsikringsvirksomhet;0;1319;0,0
Eiendomsdrift, forretningsmessig og faglig tjenesteyting;400;17699;2,3
Offentlig administrasjon og forsvar, og trygdeordninger underlagt offentlig forvaltning;50;10880;0,5
Undervisning;50;15324;0,3
Helse- og sosialtjeneste;800;43183;1,9
Personlig tjenesteyting;50;6406;0,8
