Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Mars 2016,,,,,,2016,mars
I alt,89334.0,3.3,8323.0,10.0,3.0,2016,mars
Østfold,5027.0,3.5,-187.0,-4.0,3.6,2016,mars
Akershus,8267.0,2.7,-25.0,0.0,2.7,2016,mars
Oslo,12652.0,3.5,-475.0,-4.0,3.6,2016,mars
Hedmark,2453.0,2.5,-203.0,-8.0,2.7,2016,mars
Oppland,2167.0,2.2,-129.0,-6.0,2.4,2016,mars
Buskerud,4365.0,3.0,80.0,2.0,2.9,2016,mars
Vestfold,3976.0,3.2,57.0,1.0,3.2,2016,mars
Telemark,3226.0,3.7,-38.0,-1.0,3.7,2016,mars
Aust-Agder,2446.0,4.3,296.0,14.0,3.7,2016,mars
Vest-Agder,3732.0,4.0,630.0,20.0,3.3,2016,mars
Rogaland,12101.0,4.7,4427.0,58.0,3.0,2016,mars
Hordaland,9708.0,3.5,2494.0,35.0,2.6,2016,mars
Sogn og Fjordane,1317.0,2.3,71.0,6.0,2.2,2016,mars
Møre og Romsdal,4765.0,3.4,1367.0,40.0,2.4,2016,mars
Sør-Trøndelag,4675.0,2.8,252.0,6.0,2.7,2016,mars
Nord-Trøndelag,1838.0,2.7,-140.0,-7.0,2.9,2016,mars
Nordland,3325.0,2.7,-19.0,-1.0,2.7,2016,mars
Troms,1924.0,2.2,34.0,2.0,2.2,2016,mars
Finnmark,1348.0,3.4,-16.0,-1.0,3.5,2016,mars
Øvrige områder,8.0,,-13.0,-62.0,,2016,mars
Ukjent,14.0,,-140.0,-91.0,,2016,mars
