Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juli 2016,,,,,,2016,juli
I alt,87736.0,3.2,2374.0,3.0,3.1,2016,juli
Østfold,4777.0,3.3,-566.0,-11.0,3.7,2016,juli
Akershus,8035.0,2.6,-515.0,-6.0,2.8,2016,juli
Oslo,12607.0,3.4,-960.0,-7.0,3.7,2016,juli
Hedmark,2359.0,2.4,-276.0,-10.0,2.7,2016,juli
Oppland,1903.0,1.9,-193.0,-9.0,2.2,2016,juli
Buskerud,4345.0,3.0,-172.0,-4.0,3.1,2016,juli
Vestfold,4119.0,3.3,231.0,6.0,3.1,2016,juli
Telemark,2835.0,3.2,-210.0,-7.0,3.5,2016,juli
Aust-Agder,2425.0,4.2,200.0,9.0,3.9,2016,juli
Vest-Agder,3664.0,3.9,364.0,11.0,3.6,2016,juli
Rogaland,11950.0,4.6,3027.0,34.0,3.5,2016,juli
Hordaland,10102.0,3.6,1863.0,23.0,3.0,2016,juli
Sogn og Fjordane,993.0,1.7,-150.0,-13.0,2.0,2016,juli
Møre og Romsdal,4642.0,3.3,828.0,22.0,2.7,2016,juli
Sør-Trøndelag,4442.0,2.6,-302.0,-6.0,2.9,2016,juli
Nord-Trøndelag,1743.0,2.5,-406.0,-19.0,3.2,2016,juli
Nordland,3345.0,2.7,-186.0,-5.0,2.9,2016,juli
Troms,2000.0,2.3,-170.0,-8.0,2.5,2016,juli
Finnmark,1431.0,3.6,39.0,3.0,3.5,2016,juli
Øvrige områder,13.0,,2.0,18.0,,2016,juli
Ukjent,6.0,,-74.0,-93.0,,2016,juli
