Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
Juni 2020,,,,,,2020,juni
I alt,135988.0,4.8,75895.0,126.0,2.1,2020,juni
Oslo,25670.0,6.5,15985.0,165.0,2.5,2020,juni
Rogaland,12218.0,4.8,6525.0,115.0,2.2,2020,juni
Møre og Romsdal,5639.0,4.1,2922.0,108.0,2.0,2020,juni
Nordland,4173.0,3.4,1966.0,89.0,1.8,2020,juni
Viken,33947.0,5.3,19959.0,143.0,2.2,2020,juni
Innlandet,7062.0,3.8,3668.0,108.0,1.8,2020,juni
Vestfold og Telemark,10010.0,4.8,4620.0,86.0,2.6,2020,juni
Agder,6683.0,4.4,3358.0,101.0,2.2,2020,juni
Vestland,15572.0,4.6,8727.0,127.0,2.0,2020,juni
Trøndelag - Trööndelage,9423.0,3.8,5073.0,117.0,1.8,2020,juni
Troms og Finnmark - Romsa ja Finnmárku,5392.0,4.1,2903.0,117.0,1.9,2020,juni
Øvrige områder,138.0,,133.0,2660.0,,2020,juni
Ukjent,61.0,,56.0,1120.0,,2020,juni
