Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),Prosent av arbeidsstyrken i fjor,År,Måned
November 2016,,,,,,2016,november
I alt,78157.0,2.8,-1002.0,-1.0,2.9,2016,november
Østfold,4262.0,3.0,-281.0,-6.0,3.2,2016,november
Akershus,7003.0,2.2,-544.0,-7.0,2.4,2016,november
Oslo,10720.0,2.9,-843.0,-7.0,3.2,2016,november
Hedmark,1930.0,2.0,-247.0,-11.0,2.2,2016,november
Oppland,1745.0,1.8,-126.0,-7.0,1.9,2016,november
Buskerud,3702.0,2.5,-250.0,-6.0,2.7,2016,november
Vestfold,3821.0,3.1,375.0,11.0,2.8,2016,november
Telemark,2350.0,2.7,-578.0,-20.0,3.4,2016,november
Aust-Agder,2001.0,3.5,-148.0,-7.0,3.7,2016,november
Vest-Agder,3162.0,3.3,-26.0,-1.0,3.4,2016,november
Rogaland,11705.0,4.5,1171.0,11.0,4.1,2016,november
Hordaland,9402.0,3.4,1111.0,13.0,3.0,2016,november
Sogn og Fjordane,912.0,1.6,-124.0,-12.0,1.8,2016,november
Møre og Romsdal,4325.0,3.1,368.0,9.0,2.8,2016,november
Sør-Trøndelag,3846.0,2.3,-281.0,-7.0,2.5,2016,november
Nord-Trøndelag,1417.0,2.0,-328.0,-19.0,2.6,2016,november
Nordland,2894.0,2.3,-248.0,-8.0,2.6,2016,november
Troms,1743.0,2.0,9.0,1.0,2.0,2016,november
Finnmark,1198.0,3.0,11.0,1.0,3.0,2016,november
Øvrige områder,16.0,,2.0,14.0,,2016,november
Ukjent,,,,,,2016,november
