Kommune,Andel (2025),Label
Porsgrunn,10.5,Porsgrunn
Skien,12.1,Skien
Notodden,11.1,Notodden
Siljan,5.1,Siljan
Bamble,12.0,Bamble
Kragerø,11.9,Kragerø
Drangedal,8.7,Drangedal
Nome,13.5,Nome
Midt-Telemark,13.3,Midt-Telemark
Seljord,10.1,Seljord
Hjartdal,6.3,Hjartdal
Tinn,9.5,Tinn
Kviteseid,7.1,Kviteseid
Nissedal,7.3,Nissedal
Fyresdal,7.4,Fyresdal
Tokke,6.4,Tokke
Vinje,8.3,Vinje
Telemark,11.2,Telemark
Hele landet,10.1,Hele landet
