Kommunenummer,Kommune,Andel
4001,Porsgrunn,0.792
4003,Skien,0.7692
4005,Notodden,0.7831
4010,Siljan,0.8066
4012,Bamble,0.8193
4014,Kragerø,0.7974
4016,Drangedal,0.7914
4018,Nome,0.7616
4020,Midt-Telemark,0.7869
4022,Seljord,0.7642
4024,Hjartdal,0.7294
4026,Tinn,0.8021
4028,Kviteseid,0.7964
4030,Nissedal,0.7831
4032,Fyresdal,0.7992
4034,Tokke,0.801
4036,Vinje,0.7891
