Kommunenummer,Kommune,Andel
4001,Porsgrunn,0.8815
4003,Skien,0.8104
4005,Notodden,0.728
4010,Siljan,0.4707
4012,Bamble,0.7581
4014,Kragerø,0.701
4016,Drangedal,0.4744
4018,Nome,0.6067
4020,Midt-Telemark,0.8326
4022,Seljord,0.6988
4024,Hjartdal,0.3515
4026,Tinn,0.5737
4028,Kviteseid,0.4411
4030,Nissedal,0.577
4032,Fyresdal,0.4793
4034,Tokke,0.491
4036,Vinje,0.5303
