Kommunenummer,Kommune,Andel
4001,Porsgrunn,0.7386
4003,Skien,0.6021
4005,Notodden,0.5269
4010,Siljan,0.456
4012,Bamble,0.5958
4014,Kragerø,0.4207
4016,Drangedal,0.2868
4018,Nome,0.2979
4020,Midt-Telemark,0.6575
4022,Seljord,0.4759
4024,Hjartdal,0.2088
4026,Tinn,0.2001
4028,Kviteseid,0.4908
4030,Nissedal,0.4867
4032,Fyresdal,0.5138
4034,Tokke,0.4812
4036,Vinje,0.3982
