Kommunenummer,Kommune,Andel
4001,Porsgrunn,0.6826
4003,Skien,0.6099
4005,Notodden,0.2975
4010,Siljan,0.4588
4012,Bamble,0.566
4014,Kragerø,0.2661
4016,Drangedal,0.1379
4018,Nome,0.3035
4020,Midt-Telemark,0.3587
4022,Seljord,0.325
4024,Hjartdal,0.1378
4026,Tinn,0.1964
4028,Kviteseid,0.1042
4030,Nissedal,0.0535
4032,Fyresdal,0.1736
4034,Tokke,0.0934
4036,Vinje,0.1016
