Kommunenummer,Kommune,MeteringPointTypeCode,Kilde,InstallertKapasitet,Dato,SistOppdatert
4003,Skien,E19,other,98.0,2025-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11583.0,2025-01-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7336.0,2025-01-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11583.0,2025-01-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7336.0,2025-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7345.0,2025-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11583.0,2025-01-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-03,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11583.0,2025-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7345.0,2025-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7345.0,2025-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11583.0,2025-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-05,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-05,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-06,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-06,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11583.0,2025-01-06,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-06,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-07,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-07,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-07,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-07,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-07,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-07,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-07,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-07,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-07,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-08,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-08,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-08,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-08,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-08,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-08,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-08,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-08,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-08,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-09,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-09,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-09,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-09,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-09,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-09,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-09,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-09,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-09,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-10,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-10,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-10,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-10,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-10,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-10,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-10,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-10,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-10,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-11,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-11,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-11,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-11,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-11,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-11,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-11,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-11,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-11,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-12,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-12,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-12,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-12,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-12,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-12,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-12,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-12,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-12,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-13,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-13,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-13,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-13,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-13,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-13,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-13,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-13,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-13,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-14,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-14,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-14,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-14,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-14,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-14,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-14,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-14,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-14,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-15,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-15,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-15,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-15,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-15,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-15,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-15,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-15,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-15,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-16,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-16,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-16,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-16,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-16,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-16,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-16,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-16,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-16,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-17,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-17,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-17,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-17,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-17,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-17,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-17,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-17,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-17,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-18,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-18,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-18,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-18,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-18,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-18,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-18,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-18,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-18,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-19,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-19,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-19,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-19,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-19,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-19,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-19,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-19,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-19,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-20,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-20,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-20,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-20,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-20,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-20,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-20,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-20,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-20,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-21,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-21,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-21,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-21,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-21,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-21,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-21,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-21,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-21,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-22,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-22,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-22,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-22,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-22,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-22,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-22,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-22,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-22,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-23,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-23,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-23,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-23,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-23,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-23,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-23,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-23,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-23,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-24,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-24,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-24,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-24,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-24,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-24,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-24,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-24,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-24,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-25,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-25,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-25,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-25,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-25,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-25,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-25,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-25,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-25,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-26,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-26,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-26,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-26,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-26,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-26,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-26,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-26,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-26,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-27,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-27,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-27,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-27,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-27,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-27,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-27,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-27,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-27,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-28,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-28,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-28,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-28,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-28,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-28,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-28,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-28,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-28,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-29,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-29,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-29,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-29,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-29,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-29,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-29,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-29,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-29,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-01-30,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-01-30,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-01-30,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-01-30,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-01-30,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-01-30,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-01-30,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-01-30,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-01-30,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-02-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-02-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-02-01,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-02-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-02-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-02-01,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-02-01,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-02-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-02-01,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-02-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-02-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-02-02,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-02-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-02-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-02-02,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-02-02,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-02-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-02-02,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-02-03,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-02-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-02-03,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-02-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-02-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-02-03,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-02-03,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-02-03,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-02-03,2025-06-25T08:29:56+02:00
4003,Skien,E19,other,98.0,2025-02-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,other,1100.0,2025-02-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,other,13.0,2025-02-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,solar,754.0,2025-02-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-02-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-02-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E19,solar,7445.0,2025-02-04,2025-06-25T08:29:56+02:00
4001,Porsgrunn,E18,other,1180.0,2025-02-04,2025-06-25T08:29:56+02:00
4003,Skien,E19,solar,11616.0,2025-02-04,2025-06-25T08:29:56+02:00
4003,Skien,E18,hydro,58930.0,2025-02-05,2025-06-25T08:29:56+02:00
4003,Skien,E18,solar,650.0,2025-02-05,2025-06-25T08:29:56+02:00
