Fra kommunenummer,Fra kommune,Til kommunenummer,Til kommune,År,Antall
3218,Ås,4001,Porsgrunn,2025-01-01,7
3218,Ås,4003,Skien,2025-01-01,13
3218,Ås,4014,Kragerø,2025-01-01,3
3218,Ås,4020,Midt-Telemark,2025-01-01,1
3218,Ås,4022,Seljord,2025-01-01,1
3220,Enebakk,4001,Porsgrunn,2025-01-01,5
3220,Enebakk,4003,Skien,2025-01-01,3
3220,Enebakk,4012,Bamble,2025-01-01,2
3220,Enebakk,4014,Kragerø,2025-01-01,4
3220,Enebakk,4032,Fyresdal,2025-01-01,5
3222,Lørenskog,4001,Porsgrunn,2025-01-01,2
3222,Lørenskog,4003,Skien,2025-01-01,15
3222,Lørenskog,4010,Siljan,2025-01-01,1
3222,Lørenskog,4012,Bamble,2025-01-01,4
3222,Lørenskog,4018,Nome,2025-01-01,1
3222,Lørenskog,4020,Midt-Telemark,2025-01-01,3
3222,Lørenskog,4030,Nissedal,2025-01-01,3
3224,Rælingen,4001,Porsgrunn,2025-01-01,4
3224,Rælingen,4003,Skien,2025-01-01,3
3224,Rælingen,4012,Bamble,2025-01-01,2
3226,Aurskog-Høland,4003,Skien,2025-01-01,3
3228,Nes,4001,Porsgrunn,2025-01-01,1
3228,Nes,4005,Notodden,2025-01-01,2
3228,Nes,4016,Drangedal,2025-01-01,2
3228,Nes,4034,Tokke,2025-01-01,2
3232,Nittedal,4001,Porsgrunn,2025-01-01,1
3232,Nittedal,4018,Nome,2025-01-01,1
3232,Nittedal,4020,Midt-Telemark,2025-01-01,6
3234,Lunner,4018,Nome,2025-01-01,1
3234,Lunner,4020,Midt-Telemark,2025-01-01,3
3236,Jevnaker,4001,Porsgrunn,2025-01-01,2
3238,Nannestad,4001,Porsgrunn,2025-01-01,1
3238,Nannestad,4003,Skien,2025-01-01,4
3238,Nannestad,4020,Midt-Telemark,2025-01-01,2
3240,Eidsvoll,4003,Skien,2025-01-01,1
3240,Eidsvoll,4014,Kragerø,2025-01-01,3
3240,Eidsvoll,4020,Midt-Telemark,2025-01-01,2
3242,Hurdal,4001,Porsgrunn,2025-01-01,3
3242,Hurdal,4003,Skien,2025-01-01,2
3242,Hurdal,4020,Midt-Telemark,2025-01-01,1
,Oslo - Oslove,4001,Porsgrunn,2025-01-01,152
,Oslo - Oslove,4003,Skien,2025-01-01,227
,Oslo - Oslove,4005,Notodden,2025-01-01,37
,Oslo - Oslove,4010,Siljan,2025-01-01,3
,Oslo - Oslove,4012,Bamble,2025-01-01,40
,Oslo - Oslove,4014,Kragerø,2025-01-01,51
,Oslo - Oslove,4016,Drangedal,2025-01-01,12
,Oslo - Oslove,4018,Nome,2025-01-01,21
,Oslo - Oslove,4020,Midt-Telemark,2025-01-01,76
,Oslo - Oslove,4022,Seljord,2025-01-01,10
,Oslo - Oslove,4024,Hjartdal,2025-01-01,10
,Oslo - Oslove,4026,Tinn,2025-01-01,27
,Oslo - Oslove,4028,Kviteseid,2025-01-01,8
,Oslo - Oslove,4030,Nissedal,2025-01-01,8
,Oslo - Oslove,4032,Fyresdal,2025-01-01,5
,Oslo - Oslove,4034,Tokke,2025-01-01,8
,Oslo - Oslove,4036,Vinje,2025-01-01,20
3301,Drammen,4001,Porsgrunn,2025-01-01,24
3301,Drammen,4003,Skien,2025-01-01,26
3301,Drammen,4005,Notodden,2025-01-01,22
3301,Drammen,4010,Siljan,2025-01-01,4
3301,Drammen,4012,Bamble,2025-01-01,12
3301,Drammen,4014,Kragerø,2025-01-01,6
3301,Drammen,4020,Midt-Telemark,2025-01-01,8
3301,Drammen,4022,Seljord,2025-01-01,4
3301,Drammen,4026,Tinn,2025-01-01,9
3301,Drammen,4028,Kviteseid,2025-01-01,1
3301,Drammen,4030,Nissedal,2025-01-01,2
3303,Kongsberg,4001,Porsgrunn,2025-01-01,14
3303,Kongsberg,4003,Skien,2025-01-01,9
3303,Kongsberg,4005,Notodden,2025-01-01,40
3303,Kongsberg,4012,Bamble,2025-01-01,4
3303,Kongsberg,4014,Kragerø,2025-01-01,2
3303,Kongsberg,4018,Nome,2025-01-01,2
3303,Kongsberg,4020,Midt-Telemark,2025-01-01,10
3303,Kongsberg,4022,Seljord,2025-01-01,2
3303,Kongsberg,4026,Tinn,2025-01-01,10
3303,Kongsberg,4034,Tokke,2025-01-01,3
3303,Kongsberg,4036,Vinje,2025-01-01,2
3305,Ringerike,4001,Porsgrunn,2025-01-01,10
3305,Ringerike,4003,Skien,2025-01-01,4
3305,Ringerike,4005,Notodden,2025-01-01,3
3305,Ringerike,4026,Tinn,2025-01-01,3
3305,Ringerike,4032,Fyresdal,2025-01-01,2
3310,Hole,4005,Notodden,2025-01-01,3
3310,Hole,4010,Siljan,2025-01-01,2
3310,Hole,4026,Tinn,2025-01-01,1
3312,Lier,4001,Porsgrunn,2025-01-01,3
3312,Lier,4003,Skien,2025-01-01,3
3312,Lier,4005,Notodden,2025-01-01,7
3312,Lier,4012,Bamble,2025-01-01,2
3312,Lier,4014,Kragerø,2025-01-01,7
3312,Lier,4022,Seljord,2025-01-01,2
3314,Øvre Eiker,4001,Porsgrunn,2025-01-01,4
3314,Øvre Eiker,4003,Skien,2025-01-01,8
3314,Øvre Eiker,4005,Notodden,2025-01-01,4
3314,Øvre Eiker,4012,Bamble,2025-01-01,3
3314,Øvre Eiker,4020,Midt-Telemark,2025-01-01,3
3314,Øvre Eiker,4024,Hjartdal,2025-01-01,3
3314,Øvre Eiker,4036,Vinje,2025-01-01,3
3316,Modum,4001,Porsgrunn,2025-01-01,2
3316,Modum,4003,Skien,2025-01-01,2
3316,Modum,4005,Notodden,2025-01-01,4
3316,Modum,4016,Drangedal,2025-01-01,1
3316,Modum,4018,Nome,2025-01-01,3
3316,Modum,4020,Midt-Telemark,2025-01-01,7
3316,Modum,4036,Vinje,2025-01-01,2
3318,Krødsherad,4022,Seljord,2025-01-01,2
3322,Nesbyen,4003,Skien,2025-01-01,2
3324,Gol,4003,Skien,2025-01-01,2
3324,Gol,4014,Kragerø,2025-01-01,1
3324,Gol,4016,Drangedal,2025-01-01,1
3326,Hemsedal,4003,Skien,2025-01-01,1
3326,Hemsedal,4020,Midt-Telemark,2025-01-01,1
3326,Hemsedal,4024,Hjartdal,2025-01-01,3
3328,Ål,4003,Skien,2025-01-01,2
3330,Hol,4003,Skien,2025-01-01,4
3330,Hol,4005,Notodden,2025-01-01,2
3330,Hol,4028,Kviteseid,2025-01-01,2
3330,Hol,4034,Tokke,2025-01-01,2
3332,Sigdal,4018,Nome,2025-01-01,2
3334,Flesberg,4001,Porsgrunn,2025-01-01,4
3334,Flesberg,4005,Notodden,2025-01-01,6
3334,Flesberg,4012,Bamble,2025-01-01,3
3334,Flesberg,4014,Kragerø,2025-01-01,1
3334,Flesberg,4020,Midt-Telemark,2025-01-01,2
3334,Flesberg,4024,Hjartdal,2025-01-01,3
3336,Rollag,4026,Tinn,2025-01-01,2
3336,Rollag,4032,Fyresdal,2025-01-01,2
3336,Rollag,4034,Tokke,2025-01-01,2
3401,Kongsvinger,4003,Skien,2025-01-01,6
3401,Kongsvinger,4012,Bamble,2025-01-01,2
3401,Kongsvinger,4020,Midt-Telemark,2025-01-01,1
3401,Kongsvinger,4030,Nissedal,2025-01-01,1
3403,Hamar,4001,Porsgrunn,2025-01-01,3
3403,Hamar,4003,Skien,2025-01-01,1
3403,Hamar,4005,Notodden,2025-01-01,2
3403,Hamar,4020,Midt-Telemark,2025-01-01,1
3403,Hamar,4026,Tinn,2025-01-01,1
3405,Lillehammer,4001,Porsgrunn,2025-01-01,2
3405,Lillehammer,4003,Skien,2025-01-01,12
3405,Lillehammer,4012,Bamble,2025-01-01,2
3405,Lillehammer,4018,Nome,2025-01-01,2
3405,Lillehammer,4020,Midt-Telemark,2025-01-01,1
3405,Lillehammer,4022,Seljord,2025-01-01,1
3407,Gjøvik,4001,Porsgrunn,2025-01-01,4
3407,Gjøvik,4003,Skien,2025-01-01,7
3407,Gjøvik,4005,Notodden,2025-01-01,3
3407,Gjøvik,4012,Bamble,2025-01-01,3
3407,Gjøvik,4014,Kragerø,2025-01-01,1
3407,Gjøvik,4018,Nome,2025-01-01,2
3407,Gjøvik,4020,Midt-Telemark,2025-01-01,1
3407,Gjøvik,4028,Kviteseid,2025-01-01,1
3411,Ringsaker,4001,Porsgrunn,2025-01-01,1
3411,Ringsaker,4003,Skien,2025-01-01,2
3411,Ringsaker,4005,Notodden,2025-01-01,1
3411,Ringsaker,4014,Kragerø,2025-01-01,2
3411,Ringsaker,4020,Midt-Telemark,2025-01-01,2
3411,Ringsaker,4024,Hjartdal,2025-01-01,3
3411,Ringsaker,4026,Tinn,2025-01-01,1
3411,Ringsaker,4032,Fyresdal,2025-01-01,1
3412,Løten,4003,Skien,2025-01-01,2
3413,Stange,4003,Skien,2025-01-01,3
3413,Stange,4030,Nissedal,2025-01-01,2
3415,Sør-Odal,4003,Skien,2025-01-01,2
3416,Eidskog,4003,Skien,2025-01-01,1
3416,Eidskog,4014,Kragerø,2025-01-01,1
3416,Eidskog,4024,Hjartdal,2025-01-01,2
3418,Åsnes,4001,Porsgrunn,2025-01-01,4
3418,Åsnes,4030,Nissedal,2025-01-01,4
3420,Elverum,4001,Porsgrunn,2025-01-01,6
3420,Elverum,4005,Notodden,2025-01-01,2
3420,Elverum,4024,Hjartdal,2025-01-01,2
3421,Trysil,4012,Bamble,2025-01-01,2
3422,Åmot,4001,Porsgrunn,2025-01-01,2
3422,Åmot,4003,Skien,2025-01-01,1
3425,Engerdal,4020,Midt-Telemark,2025-01-01,7
3427,Tynset,4005,Notodden,2025-01-01,1
3428,Alvdal,4003,Skien,2025-01-01,3
3429,Folldal,4020,Midt-Telemark,2025-01-01,1
3436,Nord-Fron,4001,Porsgrunn,2025-01-01,2
3436,Nord-Fron,4020,Midt-Telemark,2025-01-01,2
3436,Nord-Fron,4022,Seljord,2025-01-01,1
3437,Sel,4003,Skien,2025-01-01,2
3439,Ringebu,4014,Kragerø,2025-01-01,1
3440,Øyer,4003,Skien,2025-01-01,2
3440,Øyer,4018,Nome,2025-01-01,1
3442,Østre Toten,4001,Porsgrunn,2025-01-01,4
3442,Østre Toten,4012,Bamble,2025-01-01,1
3443,Vestre Toten,4001,Porsgrunn,2025-01-01,3
3446,Gran,4003,Skien,2025-01-01,4
3446,Gran,4005,Notodden,2025-01-01,1
3447,Søndre Land,4005,Notodden,2025-01-01,1
3448,Nordre Land,4005,Notodden,2025-01-01,3
3450,Etnedal,4030,Nissedal,2025-01-01,3
3451,Nord-Aurdal,4001,Porsgrunn,2025-01-01,2
3451,Nord-Aurdal,4003,Skien,2025-01-01,4
3452,Vestre Slidre,4001,Porsgrunn,2025-01-01,1
3453,Øystre Slidre,4012,Bamble,2025-01-01,1
3454,Vang,4005,Notodden,2025-01-01,1
3901,Horten,4001,Porsgrunn,2025-01-01,17
3901,Horten,4003,Skien,2025-01-01,24
3901,Horten,4005,Notodden,2025-01-01,4
3901,Horten,4010,Siljan,2025-01-01,1
3901,Horten,4012,Bamble,2025-01-01,3
3901,Horten,4016,Drangedal,2025-01-01,4
3901,Horten,4018,Nome,2025-01-01,6
3901,Horten,4020,Midt-Telemark,2025-01-01,2
3901,Horten,4026,Tinn,2025-01-01,2
3901,Horten,4036,Vinje,2025-01-01,2
3903,Holmestrand,4001,Porsgrunn,2025-01-01,5
3903,Holmestrand,4003,Skien,2025-01-01,14
3903,Holmestrand,4005,Notodden,2025-01-01,4
3903,Holmestrand,4012,Bamble,2025-01-01,9
3903,Holmestrand,4014,Kragerø,2025-01-01,4
3903,Holmestrand,4020,Midt-Telemark,2025-01-01,5
3903,Holmestrand,4026,Tinn,2025-01-01,1
3903,Holmestrand,4032,Fyresdal,2025-01-01,4
3903,Holmestrand,4034,Tokke,2025-01-01,4
3905,Tønsberg,4001,Porsgrunn,2025-01-01,38
3905,Tønsberg,4003,Skien,2025-01-01,42
3905,Tønsberg,4005,Notodden,2025-01-01,9
3905,Tønsberg,4010,Siljan,2025-01-01,6
3905,Tønsberg,4012,Bamble,2025-01-01,7
3905,Tønsberg,4014,Kragerø,2025-01-01,1
3905,Tønsberg,4016,Drangedal,2025-01-01,2
3905,Tønsberg,4018,Nome,2025-01-01,2
3905,Tønsberg,4020,Midt-Telemark,2025-01-01,8
3905,Tønsberg,4024,Hjartdal,2025-01-01,5
3905,Tønsberg,4026,Tinn,2025-01-01,8
3905,Tønsberg,4028,Kviteseid,2025-01-01,2
3905,Tønsberg,4034,Tokke,2025-01-01,6
3905,Tønsberg,4036,Vinje,2025-01-01,7
3907,Sandefjord,4001,Porsgrunn,2025-01-01,47
3907,Sandefjord,4003,Skien,2025-01-01,60
3907,Sandefjord,4005,Notodden,2025-01-01,6
3907,Sandefjord,4012,Bamble,2025-01-01,10
3907,Sandefjord,4014,Kragerø,2025-01-01,6
3907,Sandefjord,4016,Drangedal,2025-01-01,3
3907,Sandefjord,4018,Nome,2025-01-01,7
3907,Sandefjord,4020,Midt-Telemark,2025-01-01,11
3907,Sandefjord,4022,Seljord,2025-01-01,3
3907,Sandefjord,4024,Hjartdal,2025-01-01,2
3907,Sandefjord,4026,Tinn,2025-01-01,2
3907,Sandefjord,4030,Nissedal,2025-01-01,3
3907,Sandefjord,4034,Tokke,2025-01-01,1
3909,Larvik,4001,Porsgrunn,2025-01-01,95
3909,Larvik,4003,Skien,2025-01-01,58
3909,Larvik,4005,Notodden,2025-01-01,3
3909,Larvik,4010,Siljan,2025-01-01,5
3909,Larvik,4012,Bamble,2025-01-01,14
3909,Larvik,4014,Kragerø,2025-01-01,8
3909,Larvik,4018,Nome,2025-01-01,1
3909,Larvik,4020,Midt-Telemark,2025-01-01,8
3909,Larvik,4022,Seljord,2025-01-01,1
3909,Larvik,4026,Tinn,2025-01-01,1
3909,Larvik,4028,Kviteseid,2025-01-01,4
3909,Larvik,4032,Fyresdal,2025-01-01,1
3909,Larvik,4036,Vinje,2025-01-01,2
3911,Færder,4001,Porsgrunn,2025-01-01,10
3911,Færder,4003,Skien,2025-01-01,14
3911,Færder,4005,Notodden,2025-01-01,11
3911,Færder,4010,Siljan,2025-01-01,3
3911,Færder,4012,Bamble,2025-01-01,2
3911,Færder,4014,Kragerø,2025-01-01,4
4001,Porsgrunn,4003,Skien,2025-01-01,596
4001,Porsgrunn,4005,Notodden,2025-01-01,11
4001,Porsgrunn,4010,Siljan,2025-01-01,10
4001,Porsgrunn,4012,Bamble,2025-01-01,198
4001,Porsgrunn,4014,Kragerø,2025-01-01,30
4001,Porsgrunn,4016,Drangedal,2025-01-01,12
4001,Porsgrunn,4018,Nome,2025-01-01,26
4001,Porsgrunn,4020,Midt-Telemark,2025-01-01,8
4001,Porsgrunn,4024,Hjartdal,2025-01-01,3
4001,Porsgrunn,4026,Tinn,2025-01-01,6
4001,Porsgrunn,4028,Kviteseid,2025-01-01,11
4001,Porsgrunn,4030,Nissedal,2025-01-01,6
4001,Porsgrunn,4032,Fyresdal,2025-01-01,5
4001,Porsgrunn,4034,Tokke,2025-01-01,2
4001,Porsgrunn,4036,Vinje,2025-01-01,2
4003,Skien,4001,Porsgrunn,2025-01-01,636
4003,Skien,4005,Notodden,2025-01-01,21
4003,Skien,4010,Siljan,2025-01-01,50
4003,Skien,4012,Bamble,2025-01-01,90
4003,Skien,4014,Kragerø,2025-01-01,24
4003,Skien,4016,Drangedal,2025-01-01,33
4003,Skien,4018,Nome,2025-01-01,39
4003,Skien,4020,Midt-Telemark,2025-01-01,51
4003,Skien,4022,Seljord,2025-01-01,4
4003,Skien,4024,Hjartdal,2025-01-01,4
4003,Skien,4026,Tinn,2025-01-01,8
4003,Skien,4028,Kviteseid,2025-01-01,4
4003,Skien,4030,Nissedal,2025-01-01,4
4003,Skien,4032,Fyresdal,2025-01-01,15
4003,Skien,4034,Tokke,2025-01-01,3
4003,Skien,4036,Vinje,2025-01-01,13
4005,Notodden,4001,Porsgrunn,2025-01-01,13
4005,Notodden,4003,Skien,2025-01-01,24
4005,Notodden,4012,Bamble,2025-01-01,3
4005,Notodden,4018,Nome,2025-01-01,4
4005,Notodden,4020,Midt-Telemark,2025-01-01,49
4005,Notodden,4022,Seljord,2025-01-01,8
4005,Notodden,4024,Hjartdal,2025-01-01,27
4005,Notodden,4026,Tinn,2025-01-01,30
4005,Notodden,4036,Vinje,2025-01-01,1
4010,Siljan,4001,Porsgrunn,2025-01-01,21
4010,Siljan,4003,Skien,2025-01-01,68
4010,Siljan,4012,Bamble,2025-01-01,4
4010,Siljan,4020,Midt-Telemark,2025-01-01,2
4012,Bamble,4001,Porsgrunn,2025-01-01,210
