series,Til fylke,Antall (2024)
Series 1,Østfold,269
Series 1,Akershus,601
Series 1,Oslo - Oslove,913
Series 1,Buskerud,434
Series 1,Innlandet,305
Series 1,Vestfold,633
Series 1,Agder,596
Series 1,Rogaland,292
Series 1,Vestland,299
Series 1,Møre og Romsdal,159
Series 1,Trøndelag,264
Series 1,Nordland,112
Series 1,Troms,124
Series 1,Finnmark,60
