Fra kommune,År,Til kommune,Antall
Tinn,2025,Bamble,7
Tinn,2025,Kragerø,0
Tinn,2025,Drangedal,1
Tinn,2025,Nome,0
Tinn,2025,Midt-Telemark,3
Tinn,2025,Seljord,0
Tinn,2025,Hjartdal,4
Tinn,2025,Tinn,0
Tinn,2025,Kviteseid,3
Tinn,2025,Nissedal,0
Tinn,2025,Fyresdal,0
Tinn,2025,Tokke,0
Tinn,2025,Vinje,3
Kviteseid,2025,Porsgrunn,4
Kviteseid,2025,Skien,8
Kviteseid,2025,Notodden,4
Kviteseid,2025,Siljan,0
Kviteseid,2025,Bamble,2
Kviteseid,2025,Kragerø,0
Kviteseid,2025,Drangedal,0
Kviteseid,2025,Nome,4
Kviteseid,2025,Midt-Telemark,11
Kviteseid,2025,Seljord,9
Kviteseid,2025,Hjartdal,1
Kviteseid,2025,Tinn,3
Kviteseid,2025,Kviteseid,0
Kviteseid,2025,Nissedal,0
Kviteseid,2025,Fyresdal,0
Kviteseid,2025,Tokke,10
Kviteseid,2025,Vinje,1
Nissedal,2025,Porsgrunn,1
Nissedal,2025,Skien,4
Nissedal,2025,Notodden,2
Nissedal,2025,Siljan,0
Nissedal,2025,Bamble,0
Nissedal,2025,Kragerø,1
Nissedal,2025,Drangedal,0
Nissedal,2025,Nome,0
Nissedal,2025,Midt-Telemark,1
Nissedal,2025,Seljord,0
Nissedal,2025,Hjartdal,0
Nissedal,2025,Tinn,0
Nissedal,2025,Kviteseid,0
Nissedal,2025,Nissedal,0
Nissedal,2025,Fyresdal,0
Nissedal,2025,Tokke,2
Nissedal,2025,Vinje,0
Fyresdal,2025,Porsgrunn,1
Fyresdal,2025,Skien,0
Fyresdal,2025,Notodden,0
Fyresdal,2025,Siljan,0
Fyresdal,2025,Bamble,0
Fyresdal,2025,Kragerø,1
Fyresdal,2025,Drangedal,0
Fyresdal,2025,Nome,2
Fyresdal,2025,Midt-Telemark,1
Fyresdal,2025,Seljord,0
Fyresdal,2025,Hjartdal,0
Fyresdal,2025,Tinn,0
Fyresdal,2025,Kviteseid,0
Fyresdal,2025,Nissedal,0
Fyresdal,2025,Fyresdal,0
Fyresdal,2025,Tokke,0
Fyresdal,2025,Vinje,0
Tokke,2025,Porsgrunn,3
Tokke,2025,Skien,5
Tokke,2025,Notodden,3
Tokke,2025,Siljan,0
Tokke,2025,Bamble,4
Tokke,2025,Kragerø,0
Tokke,2025,Drangedal,0
Tokke,2025,Nome,0
Tokke,2025,Midt-Telemark,5
Tokke,2025,Seljord,3
Tokke,2025,Hjartdal,0
Tokke,2025,Tinn,0
Tokke,2025,Kviteseid,10
Tokke,2025,Nissedal,0
Tokke,2025,Fyresdal,0
Tokke,2025,Tokke,0
Tokke,2025,Vinje,3
Vinje,2025,Porsgrunn,7
Vinje,2025,Skien,24
Vinje,2025,Notodden,1
Vinje,2025,Siljan,3
Vinje,2025,Bamble,6
Vinje,2025,Kragerø,3
Vinje,2025,Drangedal,0
Vinje,2025,Nome,9
Vinje,2025,Midt-Telemark,11
Vinje,2025,Seljord,2
Vinje,2025,Hjartdal,0
Vinje,2025,Tinn,6
Vinje,2025,Kviteseid,2
Vinje,2025,Nissedal,0
Vinje,2025,Fyresdal,2
Vinje,2025,Tokke,11
Vinje,2025,Vinje,0
