Fra kommunenummer,Fra kommune,Til kommunenummer,Til kommune,År,Antall
4001,Porsgrunn,1576,Aure,2025-01-01,2
4001,Porsgrunn,1577,Volda,2025-01-01,3
4001,Porsgrunn,1579,Hustadvika,2025-01-01,2
4001,Porsgrunn,1580,Haram,2025-01-01,3
4001,Porsgrunn,,Trondheim - Tråante,2025-01-01,30
4001,Porsgrunn,5029,Skaun,2025-01-01,3
4001,Porsgrunn,5035,Stjørdal,2025-01-01,2
4001,Porsgrunn,5038,Verdal,2025-01-01,2
4001,Porsgrunn,5060,Nærøysund,2025-01-01,6
4001,Porsgrunn,1804,Bodø,2025-01-01,2
4001,Porsgrunn,1806,Narvik,2025-01-01,1
4001,Porsgrunn,1813,Brønnøy,2025-01-01,1
4001,Porsgrunn,1824,Vefsn,2025-01-01,3
4001,Porsgrunn,1865,Vågan,2025-01-01,1
4001,Porsgrunn,1866,Hadsel,2025-01-01,2
4001,Porsgrunn,5501,Tromsø,2025-01-01,7
4001,Porsgrunn,,Dielddanuorri - Tjeldsund,2025-01-01,3
4001,Porsgrunn,5520,Bardu,2025-01-01,2
4001,Porsgrunn,5524,Målselv,2025-01-01,2
4001,Porsgrunn,5530,Senja,2025-01-01,1
4001,Porsgrunn,5601,Alta,2025-01-01,4
4001,Porsgrunn,,Hammerfest - Hámmerfeasta,2025-01-01,2
4001,Porsgrunn,5605,Sør-Varanger,2025-01-01,2
4001,Porsgrunn,5620,Nordkapp,2025-01-01,1
4003,Skien,3101,Halden,2025-01-01,4
4003,Skien,3103,Moss,2025-01-01,13
4003,Skien,3105,Sarpsborg,2025-01-01,12
4003,Skien,3107,Fredrikstad,2025-01-01,17
4003,Skien,3110,Hvaler,2025-01-01,2
4003,Skien,3112,Råde,2025-01-01,5
4003,Skien,3114,Våler (Østfold),2025-01-01,3
4003,Skien,3118,Indre Østfold,2025-01-01,12
4003,Skien,3120,Rakkestad,2025-01-01,3
4003,Skien,3201,Bærum,2025-01-01,31
4003,Skien,3203,Asker,2025-01-01,20
4003,Skien,3205,Lillestrøm,2025-01-01,8
4003,Skien,3207,Nordre Follo,2025-01-01,19
4003,Skien,3209,Ullensaker,2025-01-01,4
4003,Skien,3212,Nesodden,2025-01-01,5
4003,Skien,3214,Frogn,2025-01-01,2
4003,Skien,3216,Vestby,2025-01-01,6
4003,Skien,3218,Ås,2025-01-01,13
4003,Skien,3220,Enebakk,2025-01-01,8
4003,Skien,3222,Lørenskog,2025-01-01,7
4003,Skien,3224,Rælingen,2025-01-01,4
4003,Skien,3226,Aurskog-Høland,2025-01-01,4
4003,Skien,3228,Nes,2025-01-01,2
4003,Skien,3232,Nittedal,2025-01-01,5
4003,Skien,3234,Lunner,2025-01-01,2
4003,Skien,3236,Jevnaker,2025-01-01,6
4003,Skien,3238,Nannestad,2025-01-01,6
4003,Skien,3240,Eidsvoll,2025-01-01,1
4003,Skien,3242,Hurdal,2025-01-01,7
4003,Skien,,Oslo - Oslove,2025-01-01,310
4003,Skien,3301,Drammen,2025-01-01,34
4003,Skien,3303,Kongsberg,2025-01-01,17
4003,Skien,3305,Ringerike,2025-01-01,9
4003,Skien,3310,Hole,2025-01-01,3
4003,Skien,3312,Lier,2025-01-01,9
4003,Skien,3314,Øvre Eiker,2025-01-01,12
4003,Skien,3316,Modum,2025-01-01,2
4003,Skien,3330,Hol,2025-01-01,2
4003,Skien,3332,Sigdal,2025-01-01,2
4003,Skien,3338,Nore og Uvdal,2025-01-01,2
4003,Skien,3401,Kongsvinger,2025-01-01,4
4003,Skien,3403,Hamar,2025-01-01,7
4003,Skien,3405,Lillehammer,2025-01-01,12
4003,Skien,3407,Gjøvik,2025-01-01,1
4003,Skien,3411,Ringsaker,2025-01-01,7
4003,Skien,3416,Eidskog,2025-01-01,5
4003,Skien,3418,Åsnes,2025-01-01,1
4003,Skien,3420,Elverum,2025-01-01,6
4003,Skien,3422,Åmot,2025-01-01,3
4003,Skien,3423,Stor-Elvdal,2025-01-01,1
4003,Skien,3432,Lesja,2025-01-01,1
4003,Skien,3435,Vågå,2025-01-01,2
4003,Skien,3437,Sel,2025-01-01,3
4003,Skien,3440,Øyer,2025-01-01,2
4003,Skien,3443,Vestre Toten,2025-01-01,2
4003,Skien,3446,Gran,2025-01-01,5
4003,Skien,3447,Søndre Land,2025-01-01,1
4003,Skien,3451,Nord-Aurdal,2025-01-01,2
4003,Skien,3452,Vestre Slidre,2025-01-01,6
4003,Skien,3453,Øystre Slidre,2025-01-01,2
4003,Skien,3454,Vang,2025-01-01,7
4003,Skien,3901,Horten,2025-01-01,22
4003,Skien,3903,Holmestrand,2025-01-01,11
4003,Skien,3905,Tønsberg,2025-01-01,49
4003,Skien,3907,Sandefjord,2025-01-01,55
4003,Skien,3909,Larvik,2025-01-01,86
4003,Skien,3911,Færder,2025-01-01,15
4003,Skien,4001,Porsgrunn,2025-01-01,636
4003,Skien,4005,Notodden,2025-01-01,21
4003,Skien,4010,Siljan,2025-01-01,50
4003,Skien,4012,Bamble,2025-01-01,90
4003,Skien,4014,Kragerø,2025-01-01,24
4003,Skien,4016,Drangedal,2025-01-01,33
4003,Skien,4018,Nome,2025-01-01,39
4003,Skien,4020,Midt-Telemark,2025-01-01,51
4003,Skien,4022,Seljord,2025-01-01,4
4003,Skien,4024,Hjartdal,2025-01-01,4
4003,Skien,4026,Tinn,2025-01-01,8
4003,Skien,4028,Kviteseid,2025-01-01,4
4003,Skien,4030,Nissedal,2025-01-01,4
