Indeksnavn,År,Område,Vegkategori,Døgn,Kjøretøylengde,Indeks,Maksverdi,Minverdi,Målverdi,Dato
Grenland,2025,Grenland,Europaveg_Riksveg_Fylkesveg_Kommunalveg,Alle,Alle,2.71,5,-5,0,2025-12-31
Grenland,2024,Grenland,Europaveg_Riksveg_Fylkesveg_Kommunalveg,Alle,Alle,-0.47,5,-5,0,2024-12-31
Grenland,2023,Grenland,Europaveg_Riksveg_Fylkesveg_Kommunalveg,Alle,Alle,-7.05,15,-15,0,2023-12-31
Grenland,2022,Grenland,Europaveg_Riksveg_Fylkesveg_Kommunalveg,Alle,Alle,-0.15,5,-5,0,2022-12-31
Grenland,2021,Grenland,Europaveg_Riksveg_Fylkesveg_Kommunalveg,Alle,Alle,-9.69,15,-15,0,2021-12-31
Grenland,2020,Grenland,Europaveg_Riksveg_Fylkesveg_Kommunalveg,Alle,Alle,14.41,15,-15,0,2020-12-31
Grenland,2019,Grenland,Europaveg_Riksveg_Fylkesveg_Kommunalveg,Alle,Alle,-7.25,15,-15,0,2019-12-31
