År;Enkeltbesøk;Gruppebesøk;Betalende besøkende
2015;276520;85564;167633
2016;287415;83860;147856
2017;265207;81779;203483
2018;264481;75784;185700
2019;305329;81464;195925
2020;218324;45002;137357
