Fylke,Antall,Prosent av arbeidsstyrken,Endring fra i fjor (antall),Endring fra i fjor (prosent),År,Måned,Prosent av arbeidsstyrken i fjor
Vest-Agder,2610.0,3.0,28.0,1.1,2010,Juli,
Vestfold,4142.0,3.4,-166.0,-3.9,2010,Juli,
Øvrige områder,26.0,,1.0,4.0,2010,Juli,
Akershus,7385.0,2.5,354.0,5.0,2010,August,
Aust-Agder,1905.0,3.4,0.0,0.0,2010,August,
Buskerud,3909.0,2.8,134.0,3.5,2010,August,
Finnmark,1331.0,3.5,-102.0,-7.1,2010,August,
Hedmark,2711.0,2.8,-138.0,-4.8,2010,August,
Hordaland,6696.0,2.6,84.0,1.3,2010,August,
Landet,76101.0,2.9,177.0,0.2,2010,August,
Møre og Romsdal,3305.0,2.5,-42.0,-1.3,2010,August,
Nord-Trøndelag,1874.0,2.8,-141.0,-7.0,2010,August,
Nordland,3665.0,3.0,45.0,1.2,2010,August,
Oppland,2105.0,2.2,-312.0,-12.9,2010,August,
Oslo,13402.0,4.0,710.0,5.6,2010,August,
Rogaland,5255.0,2.3,248.0,5.0,2010,August,
Sogn og Fjordane,1324.0,2.4,182.0,15.9,2010,August,
Sør-Trøndelag,4696.0,3.0,-461.0,-8.9,2010,August,
Telemark,2843.0,3.3,-52.0,-1.8,2010,August,
Troms,2118.0,2.5,-228.0,-9.7,2010,August,
Vest-Agder,2666.0,3.0,107.0,4.2,2010,August,
Vestfold,3840.0,3.2,-283.0,-6.9,2010,August,
Øvrige områder,30.0,,1.0,3.4,2010,August,
Akershus,7084.0,2.4,614.0,9.5,2010,September,
Aust-Agder,1828.0,3.3,127.0,7.5,2010,September,
Buskerud,3621.0,2.6,286.0,8.6,2010,September,
Finnmark,1145.0,3.0,-65.0,-5.4,2010,September,
Hedmark,2494.0,2.6,-37.0,-1.5,2010,September,
Hordaland,6172.0,2.4,313.0,5.3,2010,September,
Landet,71431.0,2.8,3276.0,4.8,2010,September,
Møre og Romsdal,2973.0,2.2,7.0,0.2,2010,September,
Nord-Trøndelag,1613.0,2.4,-152.0,-8.6,2010,September,
Nordland,3279.0,2.7,231.0,7.6,2010,September,
Oppland,1941.0,2.0,-156.0,-7.4,2010,September,
Oslo,12982.0,3.9,1064.0,8.9,2010,September,
Rogaland,5186.0,2.2,261.0,5.3,2010,September,
Sogn og Fjordane,1069.0,1.9,115.0,12.1,2010,September,
Sør-Trøndelag,4346.0,2.8,-30.0,-0.7,2010,September,
Telemark,2735.0,3.2,259.0,10.5,2010,September,
Troms,1954.0,2.4,-39.0,-2.0,2010,September,
Vest-Agder,2500.0,2.8,148.0,6.3,2010,September,
Vestfold,3677.0,3.0,-49.0,-1.3,2010,September,
Øvrige områder,34.0,,9.0,36.0,2010,September,
Akershus,7000.0,2.4,586.0,9.1,2010,Oktober,
Aust-Agder,1643.0,3.0,54.0,3.4,2010,Oktober,
Buskerud,3437.0,2.5,317.0,10.2,2010,Oktober,
Finnmark,1162.0,3.1,5.0,0.4,2010,Oktober,
Hedmark,2377.0,2.5,-155.0,-6.1,2010,Oktober,
Hordaland,6088.0,2.4,517.0,9.3,2010,Oktober,
Landet,69790.0,2.7,3364.0,5.1,2010,Oktober,
Møre og Romsdal,2899.0,2.2,-34.0,-1.2,2010,Oktober,
Nord-Trøndelag,1543.0,2.3,-151.0,-8.9,2010,Oktober,
Nordland,3171.0,2.6,212.0,7.2,2010,Oktober,
Oppland,1990.0,2.1,-194.0,-8.9,2010,Oktober,
Oslo,12619.0,3.8,1021.0,8.8,2010,Oktober,
Rogaland,5149.0,2.2,245.0,5.0,2010,Oktober,
Sogn og Fjordane,1013.0,1.8,82.0,8.8,2010,Oktober,
Sør-Trøndelag,4335.0,2.8,218.0,5.3,2010,Oktober,
Telemark,2705.0,3.1,315.0,13.2,2010,Oktober,
Troms,1802.0,2.2,-133.0,-6.9,2010,Oktober,
Vest-Agder,2430.0,2.8,-61.0,-2.4,2010,Oktober,
Vestfold,3614.0,3.0,-26.0,-0.7,2010,Oktober,
Øvrige områder,30.0,,12.0,66.7,2010,Oktober,
Akershus,6605.0,2.3,276.0,4.4,2010,November,
Aust-Agder,1748.0,3.1,177.0,11.3,2010,November,
Buskerud,3465.0,2.5,414.0,13.6,2010,November,
Finnmark,1112.0,2.9,-4.0,-0.4,2010,November,
Hedmark,2506.0,2.6,-51.0,-2.0,2010,November,
Hordaland,6133.0,2.4,613.0,11.1,2010,November,
Landet,69366.0,2.7,4081.0,6.3,2010,November,
Møre og Romsdal,2875.0,2.2,47.0,1.7,2010,November,
Nord-Trøndelag,1588.0,2.4,-140.0,-8.1,2010,November,
Nordland,3210.0,2.7,333.0,11.6,2010,November,
Oppland,1946.0,2.0,-118.0,-5.7,2010,November,
Oslo,12164.0,3.6,917.0,8.2,2010,November,
Rogaland,5174.0,2.2,311.0,6.4,2010,November,
Sogn og Fjordane,1040.0,1.9,98.0,10.4,2010,November,
Sør-Trøndelag,4369.0,2.8,286.0,7.0,2010,November,
